bill_key,state,identifier,title,title_truncated,session,stage,stage_date,lookup_status,openstates_url,reach,reach_basis,reach_evidence,instrument,instrument_basis,direction,stance_eligible,in_frame_via,incident_id,flags
NJ:A 5462,NJ,A 5462,Requires electric public utilities to develop and apply special rules for large load customers to protect non-large load customers from increased costs.**,0,221,Passed both chambers,2026-01-12,matched,https://openstates.org/nj/bills/221/A5462/,large_load_class,title_class_term,large load,ratepayer_cost_allocation,title,restrictive,1,Create large-load utility tariff for 100MW+ data centers (A5462),opp_e68cad835453,
NJ:A 6181,NJ,A 6181,,0,,,,http_429,,unestablished,incident_names_another_bill,,unclassified,,unclassified,0,Ban data center development NDAs in NJ,opp_836956ddb280,
NJ:A 796,NJ,A 796,Requires electric public utilities to develop and apply special rules for certain data centers to protect non-data center customers from increased costs.**,0,222,Passed one chamber,2026-06-30,matched,https://openstates.org/nj/bills/222/A796/,data_center_specific,title_term,data center,ratepayer_cost_allocation,title,restrictive,1,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NJ:S 1673,NJ,S 1673,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NJ:S 3379,NJ,S 3379,Requires data center owners and operators to submit semi-annual water and energy usage reports to BPU.,0,222,Passed one chamber,2026-06-30,matched,https://openstates.org/nj/bills/222/S3379/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Require semi-annual data center water and energy reports (S3379),opp_836956ddb280,
NJ:S 4390,NJ,S 4390,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NJ:S 4411,NJ,S 4411,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NJ:S 680,NJ,S 680,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Require NJ data centers to source 100% of electricity from new clean or nuclear energy,opp_836956ddb280,
NJ:S 731,NJ,S 731,Requires electric public utilities to develop and apply special rules for large load customers to protect non-large load customers from increased costs.*,0,222,Introduced,2026-01-13,matched,https://openstates.org/nj/bills/222/S731/,large_load_class,title_class_term,large load,ratepayer_cost_allocation,title,restrictive,1,Redirect uncommitted NJ AI/data-center tax credits to other priorities,opp_59b45da5fc73,
NM:SB 235,NM,SB 235,MICROGRID OVERSIGHT ACT,0,2026,Passed one chamber,2026-02-14,ambiguous_session,https://openstates.org/nm/bills/2026/SB235/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,supply_enablement,title,unclassified,0,Require PRC oversight of 20MW+ microgrids serving data centers,opp_72caa70f9964,
NY:A 10141,NY,A 10141,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,0,2025-2026,Introduced,2026-02-09,matched,https://openstates.org/ny/bills/2025-2026/A10141/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Enact statewide data center moratorium in NY,opp_11c80b6abe68,
NY:A 11560,NY,A 11560,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Pause state environmental permits for new hyperscale data centers for up to one year,opp_ba67bec0f3c1,
NY:S 10642,NY,S 10642,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Pause state environmental permits for new hyperscale data centers for up to one year,opp_ba67bec0f3c1,
NY:S 8540,NY,S 8540,"Establishes the ""accountability of costs for data centers act""",0,2025-2026,Introduced,2025-10-22,ambiguous_session,https://openstates.org/ny/bills/2025-2026/S8540/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Create separate utility rate class for data centers in New York,opp_1f51183f1ba8,
NY:S 9144,NY,S 9144,Imposes a moratorium on data center permit issuance; and relates to data center rate impacts,0,2025-2026,Introduced,2026-02-06,matched,https://openstates.org/ny/bills/2025-2026/S9144/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Enact statewide data center moratorium in NY,opp_11c80b6abe68,
OH:HB 646,OH,HB 646,Create the Data Center Study Commission,0,136,Passed both chambers,2026-06-10,matched,https://openstates.org/oh/bills/136/HB646/,data_center_specific,title_term,Data Center,disclosure_reporting,title,disclosure,1,Mandate data center water disclosure via HB 646,opp_4f7ecaba5fff,
OH:HB 706,OH,HB 706,,0,,,,http_429,,unestablished,title_unavailable,,incentive_repeal,incident_objective,unclassified,0,Repeal data center tax exemptions via HB 706,opp_23023943734f,
OH:HB 96,OH,HB 96,Make state operating appropriations for FY 2026-27,0,136,Signed into law,2025-06-30,matched,https://openstates.org/oh/bills/136/HB96/,sector_vehicle,incident_corroborated:taxation,taxation,incentive_repeal,incident_objective,unclassified,0,Repeal data center tax exemptions via HB 96,opp_3d6145630316,
OH:SR 37,OH,SR 37,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Block Amazon/AWS rezoning of 330 acres in Sunbury,opp_7146943d67ee,
OK:HB 299,OK,HB 299,,0,,,,not_found,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban NDAs used by city officials when negotiating with data center developers,opp_4954abc08ca0,
OK:HB 2992,OK,HB 2992,Corporation Commission; creating the Data Center Customer Ratepayer Protection Act of 2026; effective date; emergency.,0,2026,Signed into law,2026-05-11,matched,https://openstates.org/ok/bills/2026/HB2992/,data_center_specific,title_term,Data Center,ratepayer_cost_allocation,title,restrictive,1,Protect Oklahoma ratepayers from data center cost shifts via HB 2992,opp_4d1e1b26f170,
OK:SB 1488,OK,SB 1488,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Pause data center permits for study via SB 1488,opp_d29afd2095e0,
OR:HB 3546,OR,HB 3546,Relating to large energy use facilities; and declaring an emergency.,0,2025R1,Signed into law,2025-06-16,matched,https://openstates.org/or/bills/2025R1/HB3546/,large_load_class,title_class_term,large energy use,unclassified,,unclassified,1,Expand data center tax exemptions via HB 3546,opp_2b8c76fed856,
OR:HB 4084,OR,HB 4084,Relating to economic development; and prescribing an effective date.,0,2026R1,Signed into law,2026-03-31,matched,https://openstates.org/or/bills/2026R1/HB4084/,sector_vehicle,incident_corroborated:economic_development,economic_development,incentive_repeal,incident_objective,unclassified,0,Repeal data center tax exemptions via HB 4084,opp_1f9faef9a21f,
OR:HR 655,OR,HR 655,,0,,,,http_429,,unestablished,incident_silent,,unclassified,,unclassified,0,Transfer 150 acres of Mt. Hood National Forest to expand reservoir capacity for The Dalles,opp_07c24ce7ea28,
OR:SB 1586,OR,SB 1586,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Block SB 1586 from adding 373 acres of farmland to Hillsboro's urban growth boundary for data centers,opp_81019607ff66,
PA:HB 1834,PA,HB 1834,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Pass Pennsylvania's first data center regulatory framework via HB 1834 (104-95) prohibiting ratepayer cost-shifting,opp_375dfa09ce11,
PA:HB 2150,PA,HB 2150,An Act providing for annual reporting of energy consumption and water consumption by data centers; and imposing a penalty.,0,2025-2026,Passed one chamber,2026-04-13,matched,https://openstates.org/pa/bills/2025-2026/HB2150/,data_center_specific,title_term,data center,water_environmental,title,restrictive,1,Develop state model data center zoning ordinance (HB 2151),opp_8a016c3cad14,
PA:HB 2151,PA,HB 2151,"An Act amending Title 53 (Municipalities Generally) of the Pennsylvania
 Consolidated Statutes, providing for data center ordinance
 assistance.",0,2025-2026,Passed one chamber,2026-04-13,matched,https://openstates.org/pa/bills/2025-2026/HB2151/,data_center_specific,title_term,data center,siting_zoning,incident_objective,restrictive,1,Develop state model data center zoning ordinance (HB 2151),opp_8a016c3cad14,
PA:HB 2496,PA,HB 2496,"An Act amending the act of July 31, 1968 (P.L.805, No.247), known as the Pennsylvania Municipalities Planning Code, in general provisions, providing for pause o",1,2025-2026,Passed one chamber,2026-06-24,matched,https://openstates.org/pa/bills/2025-2026/HB2496/,large_load_class,human_override,https://www.palegis.us/legislation/bills/2025/hb2496,unclassified,,unclassified,1,,opp_1452f83e8ca5,admitted_by_override;title_truncated;no_incident_join
PA:SB 1345,PA,SB 1345,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Give PA municipalities the option to impose an 18-month moratorium on new data center applications,opp_c228fc0031e4,
SC:HB 4583,SC,HB 4583,,0,,,,not_found,,unestablished,title_unavailable,,unclassified,,unclassified,0,Ban data center development NDAs in SC,opp_3dc49c9a8133,
SD:HB 1005,SD,HB 1005,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Shield ratepayers from data center costs via HB 1005,opp_2b5062d71994,
SD:HB 1038,SD,HB 1038,allow the Public Utilities Commission to assess actual costs to data centers that are customers of public utilities.,0,2026,Signed into law,2026-03-30,ambiguous_session,https://openstates.org/sd/bills/2026/HB1038/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Ban data center development NDAs via SB 135,opp_a7892e08eaeb,
SD:SB 135,SD,SB 135,protect residents from increased utility costs and utility shortages caused by data centers and clarify authority to regulate data centers.,0,2026,Signed into law,2026-03-30,ambiguous_session,https://openstates.org/sd/bills/2026/SB135/,data_center_specific,title_term,data center,ratepayer_cost_allocation,title,restrictive,1,Enact statewide data center moratorium in SD,opp_a7892e08eaeb,
SD:SB 232,SD,SB 232,,0,,,,http_429,,unestablished,title_unavailable,,moratorium_prohibition,incident_objective,unclassified,0,Enact statewide data center moratorium in SD,opp_1763a86c026b,
TN:HB 1847,TN,HB 1847,"Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electrical infrastructure",0,114,Signed into law,2026-05-07,matched,https://openstates.org/tn/bills/114/HB1847/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,moratorium_prohibition,title,unclassified,0,Authorize >50 MW data centers to self-generate electricity outside utility regulation,opp_163684cd2c66,
TN:HB 2047,TN,HB 2047,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Require data center owners to pay full infrastructure costs in TN,opp_423d4766b0e9,
TN:HB 2392,TN,HB 2392,"Business and Commerce - As introduced, creates the ""Tennessee Data Center Impact Review Act."" - Amends TCA Title 5; Title 6; Title 7; Title 10; Title 62; Title",0,114,Introduced,2026-02-03,matched,https://openstates.org/tn/bills/114/HB2392/,data_center_specific,title_term,Data Center,siting_zoning,title,restrictive,1,Create Tennessee Data Center Impact Review Act (SB 2653),opp_d56f07501657,
TN:SB 1999,TN,SB 1999,"Energy - As introduced, enacts the ""Data Center, Artificial Intelligence, and Clean Transition Tariff Accountability Act."" - Amends TCA Title 7 and Title 65.",0,114,Introduced,2026-01-22,matched,https://openstates.org/tn/bills/114/SB1999/,data_center_specific,title_term,Data Center,unclassified,,unclassified,1,Require data center owners to pay full infrastructure costs in TN,opp_423d4766b0e9,
TN:SB 2,TN,SB 2,"Taxes - As introduced, enacts the ""End the Grocery Tax by Closing Corporate Loopholes Act."" - Amends TCA Title 57 and Title 67.",0,114,Introduced,2024-11-12,matched,https://openstates.org/tn/bills/114/SB2/,unestablished,incident_names_another_bill,,supply_enablement,incident_objective,unclassified,0,Authorize >50 MW data centers to self-generate electricity outside utility regulation,opp_163684cd2c66,
TN:SB 2128,TN,SB 2128,"Computers and Electronic Processing - As enacted, generally prohibits a municipality or electric utility to pay or absorb the cost of electrical infrastructure",0,114,Introduced,2026-01-22,matched,https://openstates.org/tn/bills/114/SB2128/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,moratorium_prohibition,title,unclassified,0,Authorize >50 MW data centers to self-generate electricity outside utility regulation,opp_163684cd2c66,
TN:SB 2584,TN,SB 2584,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,Require data center owners to pay full infrastructure costs in TN,opp_423d4766b0e9,
TN:SB 2653,TN,SB 2653,"Business and Commerce - As introduced, creates the ""Tennessee Data Center Impact Review Act."" - Amends TCA Title 5; Title 6; Title 7; Title 10; Title 62; Title",0,114,Introduced,2026-02-02,matched,https://openstates.org/tn/bills/114/SB2653/,data_center_specific,title_term,Data Center,siting_zoning,title,restrictive,1,Require data center owners to pay full infrastructure costs in TN,opp_d56f07501657,
TX:SB 6,TX,SB 6,"Relating to abortion, including civil liability for the manufacture and provision of abortion-inducing drugs, exemptions from the Texas Citizens Participation A",1,891,Passed one chamber,2025-08-12,ambiguous_session,https://openstates.org/tx/bills/891/SB6/,lookup_suspect,title_domain_incompatible,health,unclassified,,unclassified,0,Implement SB 6 data center grid rules via PUCT rulemaking,opp_7bd467275f0e,title_truncated;verify_bill_identity
UT:HB 76,UT,HB 76,Data Center Water Transparency Amendments,0,2026,Signed into law,2026-03-23,ambiguous_session,https://openstates.org/ut/bills/2026/HB76/,data_center_specific,title_term,Data Center,disclosure_reporting,title,disclosure,1,Mandate data center water use reports with $10K/day fines (HB 76),opp_5f5df06bfaaf,
VA:HB 1393,VA,HB 1393,Electric utilities; pilot program for energy assistance and weatherization for certain individuals.,0,2026,Vetoed,2026-04-13,matched,https://openstates.org/va/bills/2026/HB1393/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,unclassified,,unclassified,0,Shift data center infrastructure costs away from residential ratepayers,opp_a22d34ea887a,
VA:HB 1515,VA,HB 1515,Local approval of data centers; temporary moratorium.,0,2027,Introduced,2026-01-23,ambiguous_session,https://openstates.org/va/bills/2027/HB1515/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Require conditional use permits for data centers in VA,opp_b0c2e1b40d11,
VA:HB 153,VA,HB 153,,0,,,,http_429,,unestablished,title_unavailable,,unclassified,,unclassified,0,"Require site impact assessments for 100MW+ data centers near farms, parks, and homes",opp_31991b12e824,
VA:HB 155,VA,HB 155,Electric utilities; certificate of operation for high-load facilities.,0,2026,Introduced,2026-01-06,matched,https://openstates.org/va/bills/2026/HB155/,large_load_class,title_class_term,high-load facilit,siting_zoning,title,restrictive,1,Prevent data center cost pass-through to residential rates in VA,opp_548024876132,
VA:HB 496,VA,HB 496,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Mandate data center water usage disclosure in VA,opp_02a7428f39a3,
VA:HB 503,VA,HB 503,"Electric utilities; cost recovery, costs substantially related to serving data center customers.",0,2027,Introduced,2026-01-12,ambiguous_session,https://openstates.org/va/bills/2027/HB503/,data_center_specific,title_term,data center,moratorium_prohibition,incident_objective,restrictive,1,Prohibit utility cost recovery for 100MW+ data center transmission from residential ratepayers,opp_857f695cf9c2,
VA:HB 507,VA,HB 507,"Data centers; permit requirements, emission limits for certain engine-generator sets.",0,2026,Signed into law,2026-04-08,matched,https://openstates.org/va/bills/2026/HB507/,data_center_specific,title_term,Data center,siting_zoning,title,restrictive,1,Tax data center electricity consumption and tighten backup-generator air permitting statewide,opp_6a0f475f6528,
VA:HB 641,VA,HB 641,"Virginia's Great Outdoors Act; established, creates data center land conservation tax.",0,2027,Introduced,2026-01-13,ambiguous_session,https://openstates.org/va/bills/2027/HB641/,data_center_specific,title_term,data center,unclassified,,unclassified,1,"Impose $3/sq ft tax on data centers above 25,000 sq ft for conservation funding",opp_0ac8601ee64c,
VA:HB 784,VA,HB 784,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Mandate transparency and reporting from data centers in VA,opp_f784aebfe0c4,
VA:SB 253,VA,SB 253,Electric utilities; pilot programs for energy assistance and weatherization for certain individuals.,0,2026,Vetoed,2026-04-13,matched,https://openstates.org/va/bills/2026/SB253/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,unclassified,,unclassified,0,Shield residential ratepayers from data center costs in VA,opp_585738332a95,
VA:SB 393,VA,SB 393,"Virginia's Great Outdoors Act; established, creates data center land conservation tax.",0,2027,Introduced,2026-01-13,ambiguous_session,https://openstates.org/va/bills/2027/SB393/,data_center_specific,title_term,data center,unclassified,,unclassified,1,"Impose $3/sq ft tax on data centers above 25,000 sq ft for conservation funding",opp_0ac8601ee64c,
VA:SB 553,VA,SB 553,,0,,,,http_429,,unestablished,title_unavailable,,disclosure_reporting,incident_objective,unclassified,0,Mandate data center water usage disclosure in VA,opp_02a7428f39a3,
VA:SB 619,VA,SB 619,Electric utilities; certificate of operation for high-load facilities.,0,2026,Passed one chamber,2026-02-16,matched,https://openstates.org/va/bills/2026/SB619/,large_load_class,title_class_term,high-load facilit,siting_zoning,title,restrictive,1,Prevent data center cost pass-through to residential rates in VA,opp_548024876132,
VA:SB 94,VA,SB 94,"Data centers; site assessment, sound profile of the high energy use facility.",0,2026,Signed into law,2026-04-13,matched,https://openstates.org/va/bills/2026/SB94/,data_center_specific,title_term,Data center,water_environmental,title,restrictive,1,"Require site impact assessments for 100MW+ data centers near farms, parks, and homes",opp_31991b12e824,
WA:HB 2515,WA,HB 2515,Addressing emerging large energy use facilities.,0,2025-2026,Died in committee,2026-02-02,matched,https://openstates.org/wa/bills/2025-2026/HB2515/,large_load_class,title_class_term,large energy use,ratepayer_cost_allocation,incident_objective,restrictive,1,Require sustainability reports and ratepayer tariffs in Washington,opp_1ea05e5b34c9,
WA:SB 5982,WA,SB 5982,"Updating provisions for consumer-owned utilities, including port districts, and affected market customers under the clean energy transformation act.",0,2025-2026,Signed into law,2026-03-24,matched,https://openstates.org/wa/bills/2025-2026/SB5982/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,ratepayer_cost_allocation,incident_objective,unclassified,0,Require sustainability reports and ratepayer tariffs in Washington,opp_1ea05e5b34c9,
WA:SB 6231,WA,SB 6231,Removing a tax exemption for the replacement of equipment for data centers.,0,2025-2026,Signed into law,2026-04-01,matched,https://openstates.org/wa/bills/2025-2026/SB6231/,data_center_specific,title_term,data center,incentive_repeal,title,restrictive,1,Repeal data center tax exemptions via SB 6231,opp_f885917b8d19,
WI:AB 1099,WI,AB 1099,Relating to: moratorium on data centers.,0,2025,Failed floor vote,2026-03-23,matched,https://openstates.org/wi/bills/2025/AB1099/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Ban data center development NDAs via SB 1061,opp_71bcf73ea023,
WI:AB 722,WI,AB 722,Relating to: large energy customer fees; electric utility very large customer class; a renewable resource tariff; building requirements for data centers; water,0,2025,Failed floor vote,2026-03-23,matched,https://openstates.org/wi/bills/2025/AB722/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Tie data center tax breaks to prevailing wage requirements,opp_d52b7e08f590,
WI:AB 840,WI,AB 840,Relating to: certain requirements related to data centers.,0,2025,Passed one chamber,2026-01-20,matched,https://openstates.org/wi/bills/2025/AB840/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Shield residential ratepayers from data center costs in WI,opp_db6ed2ba989e,
WI:SB 1061,WI,SB 1061,Relating to: moratorium on data centers.,0,2025,Failed floor vote,2026-03-23,matched,https://openstates.org/wi/bills/2025/SB1061/,data_center_specific,title_term,data center,moratorium_prohibition,title,restrictive,1,Ban data center development NDAs via SB 1061,opp_71bcf73ea023,
WI:SB 729,WI,SB 729,Relating to: large energy customer fees; electric utility very large customer class; a renewable resource tariff; building requirements for data centers; water,0,2025,Failed floor vote,2026-03-23,ambiguous_session,https://openstates.org/wi/bills/2025/SB729/,data_center_specific,title_term,data center,unclassified,,unclassified,1,"Create VLC rate class, ban cost-shift, require 70% renewable for sales-tax exemption",opp_d52b7e08f590,
WI:SB 843,WI,SB 843,Relating to: certain requirements related to data centers.,0,2025,Failed floor vote,2026-03-23,matched,https://openstates.org/wi/bills/2025/SB843/,data_center_specific,title_term,data center,unclassified,,unclassified,1,Shield residential ratepayers from data center costs in WI,opp_db6ed2ba989e,
WV:HB 2014,WV,HB 2014,Certified Microgrid Program,0,2025,Signed into law,2025-04-12,matched,https://openstates.org/wv/bills/2025/HB2014/,sector_vehicle,incident_corroborated:energy_utility,energy_utility,supply_enablement,title,unclassified,0,Challenge state preemption of local zoning for Penzance's $4B data center certified under WV HB 2014,opp_de333026ebdf,
WV:HB 4983,WV,HB 4983,Authorizing the Department of Commerce to promulgate a legislative rule relating to certification of a microgrid district or certification as a high impact data,1,2026,Signed into law,2026-03-30,matched,https://openstates.org/wv/bills/2026/HB4983/,data_center_specific,title_term,high impact data,supply_enablement,title,enabling,1,Mandate data center water disclosure via HB 5590,opp_92ca1a80ec25,title_truncated
WV:HB 5590,WV,HB 5590,Create a limited and predictable water-quantity review framework for High Impact Data Centers (HIDCs) in West Virginia.,0,2026,Introduced,2026-02-16,matched,https://openstates.org/wv/bills/2026/HB5590/,data_center_specific,title_term,High Impact Data,water_environmental,incident_objective,restrictive,1,Mandate data center water disclosure via HB 5590,opp_5d1c237068fa,
WV:HB 5620,WV,HB 5620,To restore local control in the decision making process in regard to data centers,0,2026,Introduced,2026-02-16,matched,https://openstates.org/wv/bills/2026/HB5620/,data_center_specific,title_term,data center,local_control,title,restrictive,1,Mandate data center water disclosure via HB 5590,opp_5d1c237068fa,
WV:SB 658,WV,SB 658,Relating to certified microgrid district projects and certified high impact data center projects,0,2026,Introduced,2026-01-29,ambiguous_session,https://openstates.org/wv/bills/2026/SB658/,data_center_specific,title_term,high impact data,supply_enablement,title,enabling,1,Restore local government authority over data centers in WV,opp_3cabf3860557,
WY:HB 90,WY,HB 90,State engineer-consumptive water use study.,0,2026,Died in committee,2026-02-23,ambiguous_session,https://openstates.org/wy/bills/2026/HB90/,sector_vehicle,incident_corroborated:environment_water,environment_water,water_environmental,title,unclassified,0,Appropriate $500K to study large-scale industrial water use by data centers in Wyoming,opp_ff16db4797f0,
