fips,county_name,state,jurisdiction,name,office,office_class,party,term_start,term_end,contact_email,contact_phone,contact_address,relevance_note,relevance_source_url,source_url
48113,"Dallas County, Texas",TX,City of Dallas,Eric L. Johnson,Mayor,mayor,n.a.,2019-06,n.a.,n.a.,214-670-3301,"Office of the Mayor, 1500 Marilla St., Suite 5EN, Dallas, TX 75201",n.a.,n.a.,https://dallascityhall.com/government/citymayor/pages/default.aspx
48139,"Ellis County, Texas",TX,Ellis County Commissioners Court,John Wray,Ellis County Judge,county_board,n.a.,2025-05-15,n.a.,n.a.,n.a.,n.a.,The County Judge is the Presiding Officer of the Ellis County Commissioners Court.,https://www.elliscountytx.gov/128/County-Judge,https://www.elliscountytx.gov/128/County-Judge
48139,"Ellis County, Texas",TX,Ellis County,n.a.,n.a.,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.elliscountytx.gov/56/Government
48139,"Ellis County, Texas",TX,City of Waxahachie,Billie Wallace,"Mayor, Place 4",mayor,n.a.,2026-05-12,2027,n.a.,n.a.,"P.O. Box 757, Waxahachie, TX 75168",n.a.,n.a.,https://www.waxahachietx.gov/m/directory/employee?eid=250
48453,"Travis County, Texas",TX,Travis County Commissioners Court,Andy Brown,Travis County Judge,county_board,n.a.,n.a.,n.a.,n.a.,(512) 854-9555,"P.O. Box 1748, Austin, TX 78767",The County Judge presides over the Travis County Commissioners Court and is the Director of Emergency Management for the County.,https://www.traviscountytx.gov/commissioners-court/county-judge,https://www.traviscountytx.gov/commissioners-court/county-judge
48453,"Travis County, Texas",TX,Travis County,n.a.,Executive Manager of Administrative Operations,county_admin,n.a.,n.a.,n.a.,n.a.,(512) 854-9020,"314 W. 11th Street, #535, Austin, TX",n.a.,n.a.,https://www.traviscountytx.gov/administrative-operations
48453,"Travis County, Texas",TX,City of Austin,Kirk Watson,Mayor,mayor,n.a.,2023-01-06,2029-01-06,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.austintexas.gov/mayor
51059,"Fairfax County, Virginia",VA,Fairfax County Board of Supervisors,Jeffrey C. McKay,"Chairman, Fairfax County Board of Supervisors (At-Large)",county_board,n.a.,n.a.,2027-12-31,chairman@fairfaxcounty.gov,703-324-2321,"12000 Government Center Parkway, Suite 530, Fairfax, VA 22035","The Board of Supervisors directed staff on March 19, 2024 to prepare a data center Zoning Ordinance amendment and adopted the Data Centers Zoning Ordinance Amendment on September 10, 2024, effective September 11, 2024, revising permissions and standards for data centers.",https://www.fairfaxcounty.gov/planning-development/data-centers,https://www.fairfaxcounty.gov/chairman/contact
51059,"Fairfax County, Virginia",VA,Fairfax County government,Bryan Hill,County Executive,county_admin,n.a.,n.a.,n.a.,n.a.,703-324-2531,"12000 Government Center Parkway, Fairfax, VA 22035",n.a.,n.a.,https://www.fairfaxcounty.gov/countyexec/
51059,"Fairfax County, Virginia",VA,Town of Herndon,"Keven J. LeBlanc, Jr.",Mayor of the Town of Herndon,mayor,n.a.,2025,2026,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.herndon-va.gov/government/mayor-town-council/town-elections
51107,"Loudoun County, Virginia",VA,Loudoun County Board of Supervisors,Phyllis J. Randall,"Chair, Loudoun County Board of Supervisors",county_board,n.a.,n.a.,n.a.,n.a.,n.a.,"1 Harrison St. SE, Leesburg, VA","Board-adopted March 18, 2025 amendments make data centers a conditional use that requires an approved special exception application by the Board of Supervisors; data centers are no longer a by-right use.",https://www.loudoun.gov/6410/Land-Use-Considerations,http://www.loudoun.gov/m/newsflash/Home/Detail/10636
51107,"Loudoun County, Virginia",VA,Loudoun County government,Tim Hemstreet,County Administrator and Clerk of the Board,county_admin,n.a.,n.a.,n.a.,n.a.,703-777-0200,"P.O. Box 7000, Leesburg, VA 20177-7000",n.a.,n.a.,https://www.loudoun.gov/m/directory/employee?eid=99
51107,"Loudoun County, Virginia",VA,Town of Leesburg,Kelly Burk,Mayor,mayor,n.a.,n.a.,2026-12-31,council@leesburgva.gov,n.a.,"25 West Market Street, Leesburg, VA 20176",n.a.,n.a.,https://www.leesburgva.gov/government/mayor-council
51153,"Prince William County, Virginia",VA,Prince William Board of County Supervisors,Deshundra Jefferson,"Chair at-Large, Prince William Board of County Supervisors",county_board,n.a.,2024-01-01,2027-12-31,n.a.,n.a.,n.a.,"The Board of County Supervisors created and amended the Data Center Opportunity Zone Overlay District, initiated amendments to County policies and regulations for data centers, and holds work sessions and public hearings on them.",https://www.pwcva.gov/department/planning-office/data-center-overlay-district-comprehensive-review,https://pwcgov.granicus.com/boards/w/b51dc3dce74bf1a6/boards/34649
51153,"Prince William County, Virginia",VA,Prince William County government,Christopher Shorter,County Executive,county_admin,n.a.,2022,n.a.,n.a.,703-792-6600,"James J. McCoart Administration Building, 1 County Complex Court, Prince William, VA 22192",n.a.,n.a.,https://www.pwcva.gov/department/office-executive-management/cabinet-bios
51153,"Prince William County, Virginia",VA,City of Manassas,Michelle Davis-Younger,Mayor,mayor,n.a.,2025-01-01,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.manassasva.gov/connect/mayor_and_council/michelle_davis-younger.php
53017,"Douglas County, Washington",WA,Douglas County Board of County Commissioners,Dan Sutton,"Chair, Board of County Commissioners (District 1)",county_board,n.a.,n.a.,n.a.,n.a.,509-745-8537,n.a.,n.a.,n.a.,https://www.douglascountywa.gov/AgendaCenter/ViewFile/Minutes/_08032026-580
53017,"Douglas County, Washington",WA,Douglas County,Jordyn Giulio,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,The County Administrator is an appointed position reporting to and directed by the Board of County Commissioners.,https://www.douglascountywa.gov/170/County-Administrator,https://www.douglascountywa.gov/Directory.aspx
53017,"Douglas County, Washington",WA,City of East Wenatchee,Jerrilea Crawford,Mayor,mayor,n.a.,2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.eastwenatcheewa.gov/246/Mayors-Office
53025,"Grant County, Washington",WA,Grant County Board of County Commissioners,Kevin R. Burgess,"Chair of the Board, Grant County Board of County Commissioners (Commissioner, District 1)",county_board,Republican,2025,n.a.,n.a.,(509) 754-2011 ext. 2901,"Room #206, 35 C Street NW, Ephrata, WA 98823",The Board of County Commissioners is the executive and legislative authority for Grant County and acts as the appeals body for some actions relating to the regulation of property division and land development.,https://www.grantcountywa.gov/317/County-Commissioners,https://www.grantcountywa.gov/320/Danny-Stone
53025,"Grant County, Washington",WA,Grant County government,Tom Gaines,County Administrator,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://lfweb.grantcountywa.gov/BOCC/DocView.aspx?id=6777692&dbid=0&repo=grant-county
53025,"Grant County, Washington",WA,City of Moses Lake,Dustin Swartz,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.cityofml.com/m/directory
53033,"King County, Washington",WA,King County Council,Sarah Perry,Council Chair,county_board,nonpartisan,2026-01-01,2028-12-31,sarah.perry@kingcounty.gov,206-477-1003,n.a.,n.a.,n.a.,https://kingcounty.gov/en/dept/council/governance-leadership/county-council/councilmembers-districts
53033,"King County, Washington",WA,King County,Girmay Zahilay,King County Executive,county_admin,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://kingcounty.gov/en/dept/executive
53033,"King County, Washington",WA,City of Seattle,Katie B. Wilson,Mayor,mayor,n.a.,n.a.,n.a.,n.a.,(206) 684-4000,"P.O. Box 94749, Seattle, WA 98124-4749",n.a.,n.a.,https://www.seattle.gov/mayor
56021,"Laramie County, Wyoming",WY,Laramie County Board of County Commissioners,Gunnar Malm,"Chairman, Board of County Commissioners",county_board,n.a.,2026-01-06,2027-01-04,gunnar.malm@laramiecountywy.gov,307-633-4260,"310 W 19th St, Suite 300, Cheyenne, WY 82001","The Laramie County Board of County Commissioners unanimously approved a zone change request for the proposed Vantage Data Center's Project Latigo, rezoning the land from Land Use (LU) to Planned Unit Development (PUD).",https://www.wyomingnews.com/laramieboomerang/news/commissioners-approve-zone-change-for-vantage-data-center-south-of-cheyenne/article_b1319e63-049c-46ac-94c4-cb36bc22446c.html,https://laramiecounty.legistar.com/PersonDetail.aspx?ID=210780&GUID=E2861DD9-2306-45E4-85D1-E1C7E3517A84&Search=
56021,"Laramie County, Wyoming",WY,"Laramie County, Wyoming",n.a.,n.a.,county_admin,n.a.,n.a.,n.a.,commissioners@laramiecountywy.gov,307-633-4260,"310 W 19th St, Suite 300, Cheyenne, WY 82001",n.a.,n.a.,https://www.laramiecountywy.gov/County-Government/Elected-Officials/County-Commissioners
56021,"Laramie County, Wyoming",WY,City of Cheyenne,Patrick Collins,Mayor,mayor,n.a.,2021-01-04,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,https://www.cheyennecity.org/Your-Government/Mayor
