place,place_norm,state,county,fips,source
Louisville,louisville,KY,Jefferson,21111,repo_records
"Louisville Metro Council (Councilwoman Chappell reintroduces moratorium on telecom hotels / data centers), KY",louisville metro council ky,KY,Jefferson,21111,repo_records
Lowell,lowell,MA,Middlesex,25017,repo_records
Lowell Township,lowell,MI,Kent,26081,repo_records
"Lowell Township (Kent County — 6-month moratorium rejected; recall threat over Microsoft DC), MI",lowell township mi,MI,Kent,26081,repo_records
Lower Mount Bethel Township,lower mount bethel,PA,Northampton,42095,repo_records
Lower Mt. Bethel Township,lower mt bethel,PA,Northampton,42095,repo_records
Lowhill Township,lowhill,PA,Lehigh,42077,repo_records
Lubbock,lubbock,TX,Lubbock,48303,repo_records
Lufkin,lufkin,TX,Angelina,48005,repo_records
Luther,luther,OK,Oklahoma,40109,repo_records
Lyon Township,lyon,MI,Oakland,26125,repo_records
"Lyon Township (Oakland County) trustee recall campaign over Verrus Project Flex, MI",lyon township trustee recall campaign over verrus project flex mi,MI,Oakland,26125,repo_records
Lysander,lysander,NY,Onondaga,36067,repo_records
"Madison County Plan Commission (moratorium requested by Citizens Action Coalition + 27 orgs), IN",madison county plan commission in,IN,Madison,18095,repo_records
Mahoning Township; North Beaver Township,mahoning township north beaver,PA,Lawrence,42073,repo_records
Manchester Township,manchester,MI,Washtenaw,26161,repo_records
Mankato,mankato,MN,Blue Earth,27013,repo_records
Mansfield,mansfield,OH,Richland,39139,repo_records
Marana,marana,AZ,Pima,04019,repo_records
Marble,marble,NC,Cherokee,37039,repo_records
"Maricopa County Board of Supervisors (Project Baccara military compatibility permit near Luke AFB), AZ",maricopa county board of supervisors az,AZ,Maricopa,04013,repo_records
Marietta City Council,marietta city council,GA,Cobb,13067,repo_records
"Marion County Superior Court (Hoosier Environmental Council / Protect Martindale-Brightwood v. Metrobloks et al.), IN",marion county superior court in,IN,Marion,18097,repo_records
Marshfield,marshfield,MO,Webster,29225,repo_records
Martindale-Brightwood (Indianapolis),martindale brightwood,IN,Marion,18097,repo_records
Maryland Supreme Court (blocks Frederick County referendum on Critical Digital Infrastructure Overlay Zone),maryland supreme court,MD,Frederick,24021,repo_records
Marysvile,marysvile,OH,Union,39159,repo_records
Marysville,marysville,OH,Union,39159,repo_records
Maryville,maryville,MO,Nodaway,29147,repo_records
City of Mason,mason,MI,Ingham,26065,repo_records
Town of Massena (NYDIG data center zoning question referred to Zoning Board of Appeals),massena,NY,St. Lawrence,36089,repo_records
Massillon,massillon,OH,Stark,39151,repo_records
Matanuska-Susitna Borough,matanuska susitna,AK,Matanuska-Susitna,02170,repo_records
Matthews,matthews,NC,Mecklenburg,37119,repo_records
Maumee,maumee,OH,Lucas,39095,repo_records
Maysville,maysville,KY,Mason,21161,repo_records
"McMinnville (18-month data center moratorium, first reading), TN",mcminnville tn,TN,Warren,47177,repo_records
Memphis,memphis,TN,Shelby,47157,repo_records
Memphis City Council (Colossus Water Recycle Plant land sale),memphis city council,TN,Shelby,47157,repo_records
Memphis & Shelby County Air Pollution Control Board (xAI appeal filing),memphis shelby county air pollution control board,TN,Shelby,47157,repo_records
Memphis & Shelby County Planning (xAI Tulane Rd construction permit),memphis shelby county planning,TN,Shelby,47157,repo_records
"Memphis (Boxtown protest at xAI Colossus 1, 3231 Paul R. Lowry Rd), TN",memphis tn,TN,Shelby,47157,repo_records
Memphis TN / Southaven MS (xAI discloses $2.8B more turbine purchases amid lawsuit),memphis tn southaven ms,TN,Shelby,47157,repo_records
Menomonie,menomonie,WI,Dunn,55033,repo_records
Mercer County Fiscal Court,mercer county fiscal court,KY,Mercer,21167,repo_records
Meridian Township,meridian,MI,Ingham,26065,repo_records
Meridian (Lauderdale County),meridian,MS,Lauderdale,28075,repo_records
Mesa,mesa,AZ,Maricopa,04013,repo_records
Middlesex Township,middlesex,PA,Cumberland,42041,repo_records
"Middlesex County Superior Court (Honest Future for Lowell + Yale Environmental Justice Clinic v. Markley Group, MA DEP), MA",middlesex county superior court ma,MA,Middlesex,25017,repo_records
Middleton Township,middleton,OH,Wood,39173,repo_records
Milan (Augusta Township),milan,MI,Washtenaw,26161,repo_records
Millinocket,millinocket,ME,Aroostook,23003,repo_records
Millville,millville,NJ,Cumberland,34011,repo_records
"Millville Board of Commissioners (Cumberland County — total data center ban), NJ",millville board of commissioners nj,NJ,Cumberland,34011,repo_records
Milwaukee,milwaukee,WI,Milwaukee,55079,repo_records
"Minneapolis City Council, MN",minneapolis city council mn,MN,Hennepin,27053,repo_records
Minooka,minooka,IL,Grundy,17063,repo_records
Mishicot,mishicot,WI,Manitowoc,55071,repo_records
Mississippi DEQ disclosure / Mississippi Today reporting on xAI's 46 'temporary-mobile' gas turbines without air permits at Southaven,mississippi deq disclosure mississippi today reporting on xai s 46 temporary mobile gas turbines without air permits at southaven,MS,DeSoto,28033,repo_records
Monclova Township,monclova,OH,Lucas,39095,repo_records
Monongahela Township,monongahela,PA,Greene,42059,repo_records
Monroe Township Council (ordinance striking 'data processing facilities' from zoning code),monroe township council,NJ,Middlesex,34023,repo_records
Monrovia (Morgan County),monrovia,IN,Morgan,18109,repo_records
Monterey Park,monterey park,CA,Los Angeles,06037,repo_records
Montgomery,montgomery,AL,Montgomery,01101,repo_records
Montgomery Township,montgomery,PA,Montgomery,42091,repo_records
"Montgomery County (Executive Elrich 6-month data center moratorium EO), MD",montgomery county md,MD,Montgomery,24031,repo_records
Monticello,monticello,MN,Wright,27171,repo_records
Moorestown,moorestown,NJ,Burlington,34005,repo_records
Mooresville,mooresville,NC,Iredell,37097,repo_records
Mooringsport (Caddo Parish),mooringsport,LA,Caddo,22017,repo_records
"Moosic Borough (comprehensive data center ordinance), PA",moosic borough pa,PA,Lackawanna,42069,repo_records
Mount Carmel Township,mount carmel,PA,Northumberland,42097,repo_records
Mount Horeb,mount horeb,WI,Dane,55025,repo_records
Village of Mount Pleasant (Foxconn-era eminent domain blight designation),mount pleasant,WI,Racine,55101,repo_records
Village of Mount Pleasant Village Board (Microsoft 15-building site-plan approval),mount pleasant village board,WI,Racine,55101,repo_records
Mountain City,mountain,TN,Johnson,47091,repo_records
Mt. Orab,mt orab,OH,Brown,39015,repo_records
Muhlenberg Township,muhlenberg,OH,Pickaway,39129,repo_records
Muncy Township,muncy,PA,Lycoming,42081,repo_records
Muscogee County / Columbus (lawsuit over technology overlay district),muscogee county columbus,GA,Muscogee,13215,repo_records
Muscogee (Creek) Nation,muscogee nation,OK,Okmulgee,40111,repo_records
Naperville,naperville,IL,DuPage,17043,repo_records
Nashville,nashville,TN,Davidson,47037,repo_records
NC Superior Court (ECO TIP West LLC v. Chatham County re: 12-month moratorium),nc superior court,NC,Chatham,37037,repo_records
Neptune Township,neptune,NJ,Monmouth,34025,repo_records
Nesquehoning Borough,nesquehoning,PA,Carbon,42025,repo_records
New Albany,new albany,IN,Floyd,18043,repo_records
New Albany (Licking County),new albany,OH,Licking,39089,repo_records
New Brunswick,new brunswick,NJ,Middlesex,34023,repo_records
New Buffalo Township,new buffalo,MI,Berrien,26021,repo_records
New Carlisle (Olive Township),new carlisle,IN,St. Joseph,18141,repo_records
New Castle Township (Frackville area),new castle,PA,Schuylkill,42107,repo_records
New Florence,new florence,MO,Montgomery,29139,repo_records
New Orleans,new orleans,LA,Orleans,22071,repo_records
Newark,newark,DE,New Castle,10003,repo_records
"Newberry County (1-year moratorium + land-purchase denial), SC",newberry county sc,SC,Newberry,45071,repo_records
Newnan,newnan,GA,Coweta,13077,repo_records
Newton Township,newton,PA,Lackawanna,42069,repo_records
Niagara Falls,niagara falls,NY,Niagara,36063,repo_records
"City of Niagara Falls (council approves NFR settlement clearing $1.48B data center), NY",niagara falls ny,NY,Niagara,36063,repo_records
Niles,niles,OH,Trumbull,39155,repo_records
"Town of Normal, IL",normal il,IL,McLean,17113,repo_records
North Beaver & Mahoning Townships (Lawrence County),north beaver mahoning townships,PA,Lawrence,42073,repo_records
North Coventry Township,north coventry,PA,Chester,42029,repo_records
North Franklin Township,north franklin,PA,Washington,42125,repo_records
City of North Mankato,north mankato,MN,Nicollet,27103,repo_records
North Slope Borough,north slope,AK,North Slope,02185,repo_records
North Tonawanda,north tonawanda,NY,Niagara,36063,repo_records
"Northampton County Commissioners, NC",northampton county commissioners nc,NC,Northampton,37131,repo_records
Northfield,northfield,MN,Rice,27131,repo_records
City of Northville,northville,MI,Wayne,26163,repo_records
Norton,norton,OH,Summit,39153,repo_records
Norwalk,norwalk,IA,Warren,19181,repo_records
Nottingham Township,nottingham,NH,Rockingham,33015,repo_records
Nutley,nutley,NJ,Essex,34013,repo_records
Nutley Board of Commissioners (ON3 campus data center parcel),nutley board of commissioners,NJ,Essex,34013,repo_records
"Nye County (Pahrump Valley — Water District board urges data center moratorium), NV",nye county nv,NV,Nye,32023,repo_records
Oakland University (Rochester Hills),oakland university,MI,Oakland,26125,repo_records
City of Oakley,oakley,CA,Contra Costa,06013,repo_records
Oklahoma City,oklahoma,OK,Oklahoma,40109,repo_records
"Old Bridge Township (drafting permanent data center ban), NJ",old bridge township nj,NJ,Middlesex,34023,repo_records
Oldham County Fiscal Court (moratorium blocking 'Project Lincoln'),oldham county fiscal court,KY,Oldham,21185,repo_records
Olyphant Borough,olyphant,PA,Lackawanna,42069,repo_records
Oneonta,oneonta,NY,Otsego,36077,repo_records
Orangetown,orangetown,NY,Rockland,36087,repo_records
Osawatomie,osawatomie,KS,Miami,20121,repo_records
Oshkosh,oshkosh,WI,Winnebago,55139,repo_records
Oshtemo Township,oshtemo,MI,Kalamazoo,26077,repo_records
Ottawa,ottawa,IL,LaSalle,17099,repo_records
Ozaukee County Circuit Court (MMAC injunction denial),ozaukee county circuit court,WI,Ozaukee,55089,repo_records
Ozaukee County District Attorney (GLNU Open Meetings Law complaint),ozaukee county district attorney,WI,Ozaukee,55089,repo_records
Pacific,pacific,MO,Franklin,29071,repo_records
Packer Township / Banks Township,packer township banks,PA,Carbon,42025,repo_records
Page,page,AZ,Coconino,04005,repo_records
"Painesville Township Trustees (Lake County), OH",painesville township trustees oh,OH,Lake,39085,repo_records
"Palm Beach County (Project Tango — TPA Group filed competing 1.15M sq ft site plan vs PBA Holdings 142-acre proposal), FL",palm beach county fl,FL,Palm Beach,12099,repo_records
Palm Coast / Flagler Beach,palm coast flagler beach,FL,Flagler,12035,repo_records
Palo (Google annexation bypass),palo,IA,Linn,19113,repo_records
Pavilion Township,pavilion,MI,Kalamazoo,26077,repo_records
Peach Bottom Township,peach bottom,PA,York,42133,repo_records
City of Peculiar,peculiar,MO,Cass,29037,repo_records
Pekin,pekin,IL,Tazewell,17179,repo_records
Pemberton Township,pemberton,NJ,Burlington,34005,repo_records
Penn Forest Township (Carbon County),penn forest,PA,Carbon,42025,repo_records
"Penn Township Board (Cass County), MI",penn township board mi,MI,Cass,26027,repo_records
Perkins Township,perkins,OH,Sandusky,39143,repo_records
Perry Township,perry,OH,Lake,39085,repo_records
Perry Township (Stark County),perry,OH,Stark,39151,repo_records
Perry Township / Perry Village,perry township perry,OH,Lake,39085,repo_records
Phillipsburg,phillipsburg,NJ,Warren,34041,repo_records
Phoenix,phoenix,AZ,Maricopa,04013,repo_records
Pike Township (Indianapolis withdrawal),pike,IN,Marion,18097,repo_records
Piketon,piketon,OH,Pike,39131,repo_records
"Pima County / Tucson (ADWR approves wells for Project Blue after city water denial), AZ",pima county tucson az,AZ,Pima,04019,repo_records
"Pinal County (Eloy — La Osa campus scaled back ~80% after opposition), AZ",pinal county az,AZ,Pinal,04021,repo_records
"Pine Creek Township (Clinton County — proactive zoning amendment for data-center conditional use), PA",pine creek township pa,PA,Clinton,42035,repo_records
Pine Island,pine island,MN,Goodhue,27049,repo_records
Piqua,piqua,OH,Miami,39109,repo_records
Pittsburg,pittsburg,CA,Contra Costa,06013,repo_records
Pittsfield Township,pittsfield,MI,Washtenaw,26161,repo_records
"Pittsylvania County & Danville Regional Industrial Facilities Authority (STACK $100B Berry Hill performance agreement), VA",pittsylvania county danville regional industrial facilities authority va,VA,Pittsylvania,51143,repo_records
Plain Township,plain,OH,Stark,39151,repo_records
Plainfield,plainfield,IL,Will,17197,repo_records
Plainfield,plainfield,IN,Hendricks,18063,repo_records
Plymouth Township,plymouth,PA,Montgomery,42091,repo_records
"Plymouth Township (Montgomery County — Cleveland-Cliffs steel mill site data center resubmitted after legal-technicality withdrawal), PA",plymouth township pa,PA,Montgomery,42091,repo_records
Pocatello,pocatello,ID,Bannock,16005,repo_records
City of Pontiac,pontiac,MI,Oakland,26125,repo_records
Port Washington,port washington,WI,Ozaukee,55089,repo_records
Port Washington Common Council (Vantage development agreement),port washington common council,WI,Ozaukee,55089,repo_records
Port Washington Common Council & Joint Review Board (TID No. 5 creation),port washington common council joint review board,WI,Ozaukee,55089,repo_records
Port Washington Plan Commission (TID No. 5 boundaries / project plan),port washington plan commission,WI,Ozaukee,55089,repo_records
City of Portage,portage,MI,Kalamazoo,26077,repo_records
"Porter Township Board (Cass County), MI",porter township board mi,MI,Cass,26027,repo_records
Portland,portland,NY,Chautauqua,36013,repo_records
Prichard,prichard,AL,Mobile,01097,repo_records
Prince George's County Council (2-year data center moratorium),prince george s county council,MD,Prince George's,24033,repo_records
Prince William County Board of Supervisors (Dulles South Innovation Center denial),prince william county board of supervisors,VA,Prince William,51153,repo_records
City of Provo,provo,UT,Utah,49049,repo_records
"Pulaski County Quorum Court (data center moratorium ordinance — failed on clerk miscount), AR",pulaski county quorum court ar,AR,Pulaski,05119,repo_records
Racine County Circuit Court (MEA / Milwaukee Riverkeeper public-records suit),racine county circuit court,WI,Racine,55101,repo_records
City of Racine vs. Village of Mount Pleasant (water-and-wastewater agreement dispute),racine vs village of mount pleasant,WI,Racine,55101,repo_records
Raleigh,raleigh,NC,Wake,37183,repo_records
Ransom Township,ransom,PA,Lackawanna,42069,repo_records
Raton,raton,NM,Colfax,35007,repo_records
Ravenna,ravenna,OH,Portage,39133,repo_records
Rayville (Sierra Club Delta Chapter town hall),rayville,LA,Richland,22083,repo_records
"Borough of Red Bank (data center ban + first NJ call for statewide moratorium), NJ",red bank nj,NJ,Monmouth,34025,repo_records
Red Oak,red oak,TX,Ellis,48139,repo_records
Reno,reno,NV,Washoe,32031,repo_records
"Reno (data center moratorium extended into 2027), NV",reno nv,NV,Washoe,32031,repo_records
Richfield Township,richfield,OH,Lucas,39095,repo_records
Richland Township,richland,PA,Bucks,42017,repo_records
Richland Parish Police Jury,richland parish police jury,LA,Richland,22083,repo_records
Ridgeland,ridgeland,MS,Madison,28089,repo_records
Robinson Township,robinson,PA,Washington,42125,repo_records
"Rockdale County (data center + battery-energy-storage moratorium extended through Sept 8), GA",rockdale county ga,GA,Rockdale,13247,repo_records
Rockford,rockford,IL,Winnebago,17201,repo_records
Rockingham,rockingham,NC,Richmond,37153,repo_records
City of Rocky Top,rocky top,TN,Anderson,47001,repo_records
Rome,rome,GA,Floyd,13115,repo_records
Village of Romeo,romeo,MI,Macomb,26099,repo_records
Roselle Park,roselle park,NJ,Union,34039,repo_records
Roswell,roswell,GA,Fulton,13121,repo_records
Round Rock,round rock,TX,Williamson,48491,repo_records
Royalton,royalton,VT,Windsor,50027,repo_records
Rural Hall,rural hall,NC,Forsyth,37067,repo_records
City of Saginaw,saginaw,MI,Saginaw,26145,repo_records
Saline Township,saline,MI,Washtenaw,26161,repo_records
Saline Township Board (rezoning denial),saline township board,MI,Washtenaw,26161,repo_records
"Saline Township (Washtenaw County) — OpenAI Stargate 'The Barn' construction-despite-rejection, MI",saline township openai stargate the barn construction despite rejection mi,MI,Washtenaw,26161,repo_records
Saline Township Planning Commission,saline township planning commission,MI,Washtenaw,26161,repo_records
San Angelo,san angelo,TX,Tom Green,48451,repo_records
"San Angelo City Council, TX",san angelo city council tx,TX,Tom Green,48451,repo_records
San Antonio,san antonio,TX,Bexar,48029,repo_records
San Jose,san jose,CA,Santa Clara,06085,repo_records
San Marcos,san marcos,TX,Hays,48209,repo_records
Sand Springs,sand springs,OK,Osage,40113,repo_records
Sanders National Moratorium (federal),sanders national moratorium,DC,District of Columbia,11001,repo_records
Sanford,sanford,ME,York,23031,repo_records
City of Sanford,sanford,NC,Lee,37105,repo_records
Santa Clara (GI Partners),santa clara,CA,Santa Clara,06085,repo_records
"Santa Fe County (yearlong data center moratorium advancing), NM",santa fe county nm,NM,Santa Fe,35049,repo_records
Santaquin,santaquin,UT,Utah,49049,repo_records
Sarcoxie,sarcoxie,MO,Jasper,29097,repo_records
Saugatuck Township,saugatuck,MI,Allegan,26005,repo_records
Sault Ste. Marie Tribe of Chippewa Indians,sault ste marie tribe of chippewa indians,MI,Chippewa,26033,repo_records
Savannah River Site (Federal AI Data Center),savannah river site,SC,Aiken,45003,repo_records
Sayreville Borough,sayreville,NJ,Middlesex,34023,repo_records
"Town of Scarborough (180-day data center moratorium enacted), ME",scarborough me,ME,Cumberland,23005,repo_records
Scioto Township (Pickaway County),scioto,OH,Pickaway,39129,repo_records
City of Scranton,scranton,PA,Lackawanna,42069,repo_records
Seattle,seattle,WA,King,53033,repo_records
Seward County Board of Commissioners,seward county board of commissioners,NE,Seward,31159,repo_records
Sharon,sharon,PA,Mercer,42085,repo_records
"Shawano County (committee recommends 1-year data center moratorium), WI",shawano county wi,WI,Shawano,55115,repo_records
Shawnee Township (Allen County),shawnee,OH,Allen,39003,repo_records
Sheboygan,sheboygan,WI,Sheboygan,55117,repo_records
"Sheboygan Common Council, WI",sheboygan common council wi,WI,Sheboygan,55117,repo_records
Shelby County Commission (xAI public hearing resolution),shelby county commission,TN,Shelby,47157,repo_records
Shelby County Health Department (xAI enforcement letter),shelby county health department,TN,Shelby,47157,repo_records
Shippingport,shippingport,PA,Beaver,42007,repo_records
Shreveport,shreveport,LA,Caddo,22017,repo_records
Shutesbury,shutesbury,MA,Franklin,25011,repo_records
Sidney,sidney,OH,Shelby,39149,repo_records
Sioux Falls,sioux falls,SD,Minnehaha,46099,repo_records
Smithfield Township,smithfield,PA,Monroe,42089,repo_records
Smithfield,smithfield,RI,Providence,44007,repo_records
Smithville,smithville,MO,Clay,29047,repo_records
Social Circle,social circle,GA,Walton,13297,repo_records
"Socorro County Commission (moratorium process advanced; vote June 9), NM",socorro county commission nm,NM,Socorro,35053,repo_records
Solon Township,solon,MI,Kent,26081,repo_records
South Annville Township,south annville,PA,Lebanon,42075,repo_records
South Bend,south bend,IN,St. Joseph,18141,repo_records
South Bloomfield,south bloomfield,OH,Pickaway,39129,repo_records
South Brunswick,south brunswick,NJ,Middlesex,34023,repo_records
City of South Fulton,south fulton,GA,Fulton,13121,repo_records
South Hanover Township,south hanover,PA,Dauphin,42043,repo_records
South Londonderry Township,south londonderry,PA,Lebanon,42075,repo_records
City of South Lyon,south lyon,MI,Oakland,26125,repo_records
South Strabane Township,south strabane,PA,Washington,42125,repo_records
South Whitehall Township,south whitehall,PA,Lehigh,42077,repo_records
Southaven,southaven,MS,DeSoto,28033,repo_records
Southfield,southfield,MI,Oakland,26125,repo_records
Southhaven,southhaven,MS,DeSoto,28033,repo_records
Southport,southport,NC,Brunswick,37019,repo_records
"Spartanburg County Council (moratorium, first reading)",spartanburg county council,SC,Spartanburg,45083,repo_records
"Spartanburg County (Council directs drafting of data center moratorium), SC",spartanburg county sc,SC,Spartanburg,45083,repo_records
"City of Spokane (one-year data center moratorium introduced), WA",spokane wa,WA,Spokane,53063,repo_records
Sprigg Township (Adams County),sprigg,OH,Adams,39001,repo_records
Spring Hill,spring hill,KS,Johnson,20091,repo_records
Springdale Borough,springdale,PA,Allegheny,42003,repo_records
St. Albans Township,st albans,OH,Licking,39089,repo_records
St. Charles (Permanent Ban),st charles,MO,St. Charles,29183,repo_records
St. Georges,st georges,DE,New Castle,10003,repo_records
"St. Joseph County Council (third New Carlisle-area data center rezoning, ~$13B), IN",st joseph county council in,IN,St. Joseph,18141,repo_records
St. Louis,st louis,MO,St. Louis,29189,repo_records
Stafford County Planning Commission,stafford county planning commission,VA,Stafford,51179,repo_records
Stanton,stanton,ND,Mercer,38057,repo_records
Statesville,statesville,NC,Iredell,37097,repo_records
Sterling Heights,sterling heights,MI,Macomb,26099,repo_records
Stowe Township,stowe,PA,Allegheny,42003,repo_records
Strasburg,strasburg,VA,Shenandoah,51171,repo_records
Sugarloaf Township,sugarloaf,PA,Luzerne,42079,repo_records
Sugarloaf Township / Hazle Twp / Black Creek Twp / Nescopeck Twp,sugarloaf township hazle twp black creek twp nescopeck twp,PA,Luzerne,42079,repo_records
Sulphur Springs,sulphur springs,TX,Hopkins,48223,repo_records
"Sulphur Springs City Council (MSB Global lawsuit defense budget), TX",sulphur springs city council tx,TX,Hopkins,48223,repo_records
"City of Summit (ban ordinance introduced), NJ",summit nj,NJ,Union,34039,repo_records
Sunbury,sunbury,OH,Delaware,39041,repo_records
Swatara Township,swatara,PA,Dauphin,42043,repo_records
Sweet Home,sweet home,AR,Pulaski,05119,repo_records
Sylvan Township,sylvan,MI,Washtenaw,26161,repo_records
Tallassee,tallassee,AL,Elmore,01051,repo_records
Town of Tarboro,tarboro,NC,Edgecombe,37065,repo_records
City of Taylor,taylor,MI,Wayne,26163,repo_records
Taylor,taylor,TX,Williamson,48491,repo_records
"Tazewell County Board, IL",tazewell county board il,IL,Tazewell,17179,repo_records
Temple,temple,TX,Bell,48027,repo_records
Tennessee Valley Authority (xAI 150 MW supply),tennessee valley authority,TN,Shelby,47157,repo_records
The Dalles (Google Water),the dalles,OR,Wasco,41065,repo_records
City of Thorndale,thorndale,TX,Milam,48331,repo_records
Tiffin,tiffin,OH,Seneca,39147,repo_records
Tobyhanna Township,tobyhanna,PA,Monroe,42089,repo_records
Tonawanda,tonawanda,NY,Erie,36029,repo_records
Tonopah (unincorporated Maricopa County),tonopah,AZ,Maricopa,04013,repo_records
"Tooele County (Resolution 2026-18 directing data center ordinance study), UT",tooele county ut,UT,Tooele,49045,repo_records
Towamencin Township,towamencin,PA,Montgomery,42091,repo_records
Tredyffrin Township,tredyffrin,PA,Chester,42029,repo_records
City of Trenton,trenton,OH,Butler,39017,repo_records
Tucson,tucson,AZ,Pima,04019,repo_records
"City of Tucson (water meter revocation for Project Blue contractor), AZ",tucson az,AZ,Pima,04019,repo_records
Tulsa,tulsa,OK,Tulsa,40143,repo_records
"Twinsburg City Council, OH",twinsburg city council oh,OH,Summit,39153,repo_records
Two Creeks,two creeks,WI,Manitowoc,55071,repo_records
Two Rivers,two rivers,WI,Manitowoc,55071,repo_records
Tyrone Township,tyrone,MI,Livingston,26093,repo_records
Upper Burrell Township,upper burrell,PA,Westmoreland,42129,repo_records
Upper Gwynedd Township,upper gwynedd,PA,Montgomery,42091,repo_records
Upper Hanover Township,upper hanover,PA,Montgomery,42091,repo_records
Upper Macungie Township,upper macungie,PA,Lehigh,42077,repo_records
Upper Merion Township,upper merion,PA,Montgomery,42091,repo_records
Upton,upton,NY,Suffolk,36103,repo_records
Urbana,urbana,OH,Champaign,39021,repo_records
"US District Court N.D. Texas (9 Granbury residents v. MARA Holdings over bitcoin-mine noise), TX",us district court n d texas tx,TX,Hood,48221,repo_records
US District Court Northern District of Mississippi (NAACP preliminary injunction motion vs xAI Southaven gas-turbine plant),us district court northern district of mississippi,MS,DeSoto,28033,repo_records
Van Buren Township,van buren,MI,Wayne,26163,repo_records
Van Meter,van meter,IA,Dallas,19049,repo_records
Van Wert,van wert,OH,Van Wert,39161,repo_records
"Van Wert City Council, OH",van wert city council oh,OH,Van Wert,39161,repo_records
Vandalia,vandalia,OH,Montgomery,39113,repo_records
Versailles,versailles,KY,Woodford,21239,repo_records
Vicksburg,vicksburg,MS,Warren,28149,repo_records
Vienna Township,vienna,OH,Trumbull,39155,repo_records
Villa Ridge (Franklin County),villa ridge,MO,Franklin,29071,repo_records
Vilonia,vilonia,AR,Faulkner,05045,repo_records
Vineland,vineland,NJ,Cumberland,34011,repo_records
Virginia State Corporation Commission (Dominion Golden-to-Mars transmission line route),virginia state corporation commission,VA,Loudoun,51107,repo_records
"Waite Park City Council, MN",waite park city council mn,MN,Stearns,27145,repo_records
Walnut Cove,walnut cove,NC,Stokes,37169,repo_records
"Walton County (directs staff to draft outright AI data center ban), FL",walton county fl,FL,Walton,12131,repo_records
Town of Warren (180-day data center moratorium),warren,ME,Knox,23013,repo_records
Warren (Macomb County),warren,MI,Macomb,26099,repo_records
"Warren Township, Somerset County (data center ban, first reading), NJ",warren township somerset county nj,NJ,Somerset,34035,repo_records
Warrenton,warrenton,MO,Warren,29219,repo_records
Town of Warrenton,warrenton,VA,Fauquier,51061,repo_records
"Washington City Council, IN",washington city council in,IN,Daviess,18027,repo_records
Washington County and Ozaukee County Boards of Supervisors (transmission-route resolutions),washington county and ozaukee county boards of supervisors,WI,Ozaukee,55089,repo_records
Washtenaw County Circuit Court (Related Digital v. Saline Township),washtenaw county circuit court,MI,Washtenaw,26161,repo_records
Waterville Township,waterville,OH,Wood,39173,repo_records
Watts Township,watts,PA,Perry,42099,repo_records
Waukee,waukee,IA,Dallas,19049,repo_records
Wausau,wausau,WI,Marathon,55073,repo_records
Weatherford (Parker County),weatherford,TX,Parker,48367,repo_records
Weathersfield Township,weathersfield,OH,Trumbull,39155,repo_records
"Webster County / Marshfield (Lumon Solutions Tier III AI facility town hall), MO",webster county marshfield mo,MO,Webster,29225,repo_records
West Des Moines,west des moines,IA,Dallas,19049,repo_records
West Des Moines,west des moines,IA,Madison,19121,repo_records
West Des Moines,west des moines,IA,Polk,19153,repo_records
West Des Moines,west des moines,IA,Warren,19181,repo_records
West Finley Township,west finley,PA,Washington,42125,repo_records
West Hazleton,west hazleton,PA,Luzerne,42079,repo_records
West Memphis,west memphis,AR,Crittenden,05035,repo_records
West Rockhill Township (Bucks County),west rockhill,PA,Bucks,42017,repo_records
"City of Westbrook (180-day data center moratorium enacted), ME",westbrook me,ME,Cumberland,23005,repo_records
Westfield,westfield,MA,Hampden,25013,repo_records
Wharncliffe,wharncliffe,WV,Mingo,54059,repo_records
Wheatfield,wheatfield,IN,Jasper,18073,repo_records
Wheeling City Council (Silicon Foundation Warwood foundry conversion),wheeling city council,WV,Ohio,54069,repo_records
Williston,williston,ND,Williams,38105,repo_records
Wilmington,wilmington,OH,Clinton,39027,repo_records
Wilsonville,wilsonville,AL,Shelby,01117,repo_records
Wiscasset,wiscasset,ME,Lincoln,23015,repo_records
Wisconsin DNR (Port Washington Vantage/Stargate),wisconsin dnr,WI,Ozaukee,55089,repo_records
Wisconsin DNR (Microsoft Mount Pleasant air + wetland permit hearings),wisconsin dnr,WI,Racine,55101,repo_records
Woodbury County Board of Supervisors,woodbury county board of supervisors,IA,Woodbury,19193,repo_records
Woodland Park,woodland park,CO,Teller,08119,repo_records
Woodlawn,woodlawn,MD,Baltimore,24005,repo_records
Woodsdale Township,woodsdale,NC,Person,37145,repo_records
Wrangell,wrangell,AK,Wrangell,02275,repo_records
"Wright County Board, MN",wright county board mn,MN,Wright,27171,repo_records
Village of Wrightstown,wrightstown,WI,Outagamie,55087,repo_records
Wyalusing Township,wyalusing,PA,Bradford,42015,repo_records
"Yankton County (temporary data center moratorium, first reading), SD",yankton county sd,SD,Yankton,46135,repo_records
"Village of Yellow Springs, OH",yellow springs oh,OH,Greene,39057,repo_records
Yerington (Lyon County),yerington,NV,Lyon,32019,repo_records
Yorkville,yorkville,IL,Kendall,17093,repo_records
Village of Yorkville,yorkville,WI,Racine,55101,repo_records
Ypsilanti Township,ypsilanti,MI,Washtenaw,26161,repo_records
Ypsilanti Community Utilities Authority (YCUA),ypsilanti community utilities authority,MI,Washtenaw,26161,repo_records
Zeeland Township,zeeland,MI,Ottawa,26139,repo_records
