incident,state,date,near_block,block_date
Virginia Supreme Court (QTS petition on PW Digital Gateway after VA Court of Appeals voided rezoning),VA,2026-07-03,Fluvanna County,2025-11-19
"Durham City Council (60-day moratorium on hyperscale data centers, cites Microsoft Woodsdale Township), NC",NC,2026-05-04,Orange County,2026-04-21
"Northampton County Commissioners, NC",NC,2026-05-04,Gates County,2025-12-17
NC Superior Court (ECO TIP West LLC v. Chatham County re: 12-month moratorium),NC,2026-05-08,Orange County,2026-04-21
"NC General Assembly (HB 7971 Ratepayer and Resource Protection Act, Rep. Prather D-Buncombe)",NC,2026-05-08,Orange County,2026-04-21
Georgia Public Service Commission (Docket 56765 / FCR-27 fuel-cost hearings; data-center cost allocation pressed),GA,2026-05-05,Griffin (Spalding County),2026-01-13
"Fayette County, GA — QTS Fayetteville (Microsoft Fairwater Atlanta campus) 29M-gallon unmetered water disclosure",GA,2026-07-16,Griffin (Spalding County),2026-01-13
"Knox County, TN (draft data-center regulation ordinance — 65-ft height cap, 300-ft setbacks, closed-loop energy mandate)",TN,2026-06-22,Swain County,2026-04-01
"Jonesborough Board of Mayor and Aldermen, TN",TN,2026-05-11,City of Bristol,2025-10-07
US District Court Northern District of Mississippi (NAACP preliminary injunction motion vs xAI Southaven gas-turbine plant),MS,2026-07-14,Memphis (xAI Colossus Water Recycle Plant indefinite pause),2026-04-09
Mississippi DEQ disclosure / Mississippi Today reporting on xAI's 46 'temporary-mobile' gas turbines without air permits at Southaven,MS,2026-05-11,Memphis (xAI Colossus Water Recycle Plant indefinite pause),2026-04-09
"Memphis (Boxtown protest at xAI Colossus 1, 3231 Paul R. Lowry Rd), TN",TN,2026-05-01,Memphis (xAI Colossus Water Recycle Plant indefinite pause),2026-04-09
"Cave City Council, KY",KY,2026-07-20,Bowling Green,2026-06-16
"Louisville Metro Council (Councilwoman Chappell reintroduces moratorium on telecom hotels / data centers), KY",KY,2026-05-11,Meade County (moratorium),2026-01-13
Kentucky (Erin Petrey-led non-partisan effort to file statewide moratorium in 2027 General Assembly),KY,2026-05-11,Mercer County (moratorium),2026-02-19
"Middlesex County Superior Court (Honest Future for Lowell + Yale Environmental Justice Clinic v. Markley Group, MA DEP), MA",MA,2026-07-29,Lowell,2026-03-11
Maryland Office of People's Counsel (FERC complaint over PJM transmission cost allocation for data centers — $1.6B shift onto MD ratepayers),MD,2026-06-17,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
"Plymouth Township (Montgomery County — Cleveland-Cliffs steel mill site data center resubmitted after legal-technicality withdrawal), PA",PA,2026-05-05,Conshohocken / Plymouth Township,2025-10-01
Connecticut General Assembly (S.B. 245 + H.B. 5469 fail to advance at session adjournment),CT,2026-05-06,Connecticut,2026-03-06
Massachusetts House (rejects Rep. Pease budget amendment for data center impact study commission),MA,2026-05-07,Lowell,2026-03-11
"Porter Township Board (Cass County), MI",MI,2026-05-12,Marshall County,2026-04-20
"Minneapolis City Council, MN",MN,2026-05-21,Minnesota (statewide moratorium proposal),2026-02-20
"Wright County Board, MN",MN,2026-05-19,Minnesota (statewide moratorium proposal),2026-02-20
"Inver Grove Heights City Council, MN",MN,2026-06-26,Minnesota (statewide moratorium proposal),2026-02-20
"Town of Normal, IL",IL,2026-05-18,Champaign County,2026-04-23
"Village of Yellow Springs, OH",OH,2026-05-18,Commercial Point / Scioto Township (Pickaway County),2026-03-01
"Cleveland City Council (1-yr moratorium proposed; Lakeland Equity permit rejected), OH",OH,2026-05-22,Perry Township,2025-07-01
"Painesville Township Trustees (Lake County), OH",OH,2026-05-21,Perry Township,2025-07-01
"City of Hubbard (Trumbull County — moratorium drafted amid 'Project Milo' NDA controversy), OH",OH,2026-06-02,Plain Township,2026-03-27
"Indianapolis / Warren Township (DC BLOX $2B campus opposition), IN",IN,2026-06-11,Franklin Township (Indianapolis),2025-09-22
"St. Joseph County Council (third New Carlisle-area data center rezoning, ~$13B), IN",IN,2026-05-13,Marshall County,2026-04-20
"Madison County Plan Commission (moratorium requested by Citizens Action Coalition + 27 orgs), IN",IN,2026-06-17,Franklin Township (Indianapolis),2025-09-22
"Lowell Township (Kent County — 6-month moratorium rejected; recall threat over Microsoft DC), MI",MI,2026-05-18,Zeeland Township,2026-01-01
"City of St. Louis (three-tier data center regulatory framework vote delayed), MO",MO,2026-05-19,St. Louis,2026-04-21
"Hill County Commissioners Court (first Texas county data center moratorium), TX",TX,2026-05-12,Somervell County,2026-05-11
"US District Court N.D. Texas (9 Granbury residents v. MARA Holdings over bitcoin-mine noise), TX",TX,2026-05-01,Hood County (Tolar / Comanche Circle),2026-01-13
"Pittsylvania County & Danville Regional Industrial Facilities Authority (STACK $100B Berry Hill performance agreement), VA",VA,2026-05-18,Orange County,2026-04-21
"Rockdale County (data center + battery-energy-storage moratorium extended through Sept 8), GA",GA,2026-05-12,Griffin (Spalding County),2026-01-13
South Carolina (Rep. Nancy Mace calls for statewide 1-year data center moratorium),SC,2026-07-10,"Newberry County (1-year moratorium + land-purchase denial), SC",2026-06-04
Memphis TN / Southaven MS (xAI discloses $2.8B more turbine purchases amid lawsuit),TN,2026-05-20,Memphis (xAI Colossus Water Recycle Plant indefinite pause),2026-04-09
"Millville Board of Commissioners (Cumberland County — total data center ban), NJ",NJ,2026-05-19,Conshohocken / Plymouth Township,2025-10-01
New Jersey (60+ groups petition Gov. Sherrill for statewide data center moratorium >=20 MW),NJ,2026-05-14,Conshohocken / Plymouth Township,2025-10-01
"New Jersey (Democratic legislators announce AI data-center tax-credit repeal; Kenilworth CoreWeave protest), NJ",NJ,2026-05-20,Conshohocken / Plymouth Township,2025-10-01
North Carolina General Assembly (SB 730 — closed-loop water + foreign-ownership ban for data centers),NC,2026-06-08,Orange County,2026-04-21
Ohio (statewide constitutional amendment initiative to ban data centers >25 MW),OH,2026-06-19,Commercial Point / Scioto Township (Pickaway County),2026-03-01
North Dakota (PSC Republican primary candidate Chris Olson calls for statewide data center moratorium),ND,2026-05-19,Mercer County,2026-03-03
Grafton,OH,2026-05-19,Norton,2025-11-03
Jackson Township,OH,2026-05-12,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Franklin Furnace,OH,2026-05-06,Sprigg Township (Adams County),2026-03-02
Jay County,IN,2026-05-11,Grant County,2026-03-02
Madison,IN,2026-05-20,Dearborn County,2026-02-25
LaPorte,IN,2026-05-18,Marshall County,2026-04-20
Logan County,IL,2026-05-19,Sangamon County,2026-02-01
Meridian Township,MI,2026-05-19,Ann Arbor Township,2026-02-17
Longmont,CO,2026-06-09,Denver,2026-05-18
Harlingen,TX,2026-05-20,Harlingen,2026-02-26
Somervell County,TX,2026-05-11,Hood County (Tolar / Comanche Circle),2026-01-13
Fort Worth,TX,2026-05-19,Hood County (Tolar / Comanche Circle),2026-01-13
Camden County,GA,2026-05-05,Glynn County Board of Commissioners,2026-04-16
Hoover,AL,2026-05-11,Birmingham,2026-03-03
Irondale,AL,2026-05-20,Birmingham,2026-03-03
Henrico County,VA,2026-05-18,Charles City County,2025-08-01
Morris,CT,2026-05-19,Connecticut,2026-03-06
Mount Carmel Township,PA,2026-05-14,South Annville Township,2026-05-13
Sanford,ME,2026-05-19,New Hampshire (SB 439 municipal zoning),2026-01-29
Towamencin Township,PA,2026-05-06,Conshohocken / Plymouth Township,2025-10-01
Exeter Borough,PA,2026-05-06,Archbald Borough,2026-03-27
Dorrance Township,PA,2026-05-06,Archbald Borough,2026-03-27
South Londonderry Township,PA,2026-05-14,South Annville Township,2026-05-13
South Whitehall Township,PA,2026-05-12,Conshohocken / Plymouth Township,2025-10-01
"Charlotte (citywide 150-day data center moratorium — public hearing), NC",NC,2026-06-08,Matthews,2025-09-01
"Birmingham (amended class action alleging city-developer conspiracy to evade DC moratorium), AL",AL,2026-05-25,Birmingham,2026-03-03
Ohio (bipartisan Joint Legislative Data Center Committee begins hearings),OH,2026-06-04,Commercial Point / Scioto Township (Pickaway County),2026-03-01
"Indianapolis / Marion County (City-County Council nonbinding moratorium resolution, Prop. 158), IN",IN,2026-05-15,Hancock County,2025-06-01
"Hill County (RCM Hill files $100M federal suit challenging data center moratorium), TX",TX,2026-06-04,"Hill County Commissioners Court (first Texas county data center moratorium), TX",2026-05-12
New Jersey (Gov. Sherrill unveils statewide data center plan; no moratorium),NJ,2026-05-27,Conshohocken / Plymouth Township,2025-10-01
"City of Summit (ban ordinance introduced), NJ",NJ,2026-06-16,"Borough of Red Bank (data center ban + first NJ call for statewide moratorium), NJ",2026-06-11
"City of Allentown (Bill 20 data center zoning tabled after marathon hearing), PA",PA,2026-06-03,Conshohocken / Plymouth Township,2025-10-01
"Town of Scarborough (180-day data center moratorium enacted), ME",ME,2026-06-03,Sanford,2026-05-19
"City of Westbrook (180-day data center moratorium enacted), ME",ME,2026-06-01,Sanford,2026-05-19
"City of Fort Worth (citywide data center rules + crypto-mining ban proposed), TX",TX,2026-06-02,Hood County (Tolar / Comanche Circle),2026-01-13
"Ohio (Gov. DeWine pauses new data center sales-tax exemptions), OH",OH,2026-05-27,Commercial Point / Scioto Township (Pickaway County),2026-03-01
"Dane County (18-month hyperscale data center moratorium passed), WI",WI,2026-06-04,City of Madison,2026-01-13
"Brown County (committee declines countywide data center moratorium), WI",WI,2026-06-02,Town of Carlton,2025-12-01
"Shawano County (committee recommends 1-year data center moratorium), WI",WI,2026-06-03,Village of Greenleaf,2026-01-13
"Jackson County (moratorium vote delayed on two competing proposals), MO",MO,2026-06-22,"Gardner, KS",2026-05-06
"City of Virginia Beach (citywide ban on large/hyperscale data centers initiated), VA",VA,2026-06-02,Gates County,2025-12-17
"Newberry County (1-year moratorium + land-purchase denial), SC",SC,2026-06-04,Spartanburg County (NorthMark/Project Spero),2026-02-27
"Hernando County (1-year data center moratorium), FL",FL,2026-06-04,Citrus County (Lecanto),2026-05-26
"McMinnville (18-month data center moratorium, first reading), TN",TN,2026-06-09,Grundy County,2026-05-18
"Town of Hillsborough (60-day AI data center moratorium), NC",NC,2026-06-01,Orange County,2026-04-21
Wyoming statewide (Gov. Gordon executive order on data center framework),WY,2026-06-03,Cheyenne (Microsoft expansion),2026-04-14
"Reno (data center moratorium extended into 2027), NV",NV,2026-06-01,Reno (Title 18 text amendment),2026-04-22
"Grove City (6-month data center moratorium), OH",OH,2026-06-01,Commercial Point / Scioto Township (Pickaway County),2026-03-01
"City of Imperial (hyperscale data center moratorium advancing), CA",CA,2026-05-20,"City of Brawley (data center moratorium passed 3-2), CA",2026-05-19
"City of Calexico (proposed data center moratorium), CA",CA,2026-06-03,"City of Brawley (data center moratorium passed 3-2), CA",2026-05-19
"Imperial County (data center moratorium + by-right elimination advancing), CA",CA,2026-06-16,"City of Brawley (data center moratorium passed 3-2), CA",2026-05-19
"Imperial County Superior Court (Sierra Club CEQA suit over IVCM approval), CA",CA,2026-05-27,"City of Brawley (data center moratorium passed 3-2), CA",2026-05-19
"Imperial Irrigation District (voters reject data-center-backed board candidate), CA",CA,2026-06-02,"City of Brawley (data center moratorium passed 3-2), CA",2026-05-19
"Moosic Borough (comprehensive data center ordinance), PA",PA,2026-06-08,Archbald Borough,2026-03-27
"Warren Township, Somerset County (data center ban, first reading), NJ",NJ,2026-06-18,Pemberton Township,2026-02-20
"Lexington-Fayette Urban County (no incentives for DartPoints + council moratorium), KY",KY,2026-06-08,Mercer County (moratorium),2026-02-19
"Clay County (12-month data center moratorium, first hearing), FL",FL,2026-06-23,Nassau County,2026-06-08
"Gardner (data center moratorium failed for lack of a second), KS",KS,2026-06-01,"Gardner, KS",2026-05-06
"City of Edmond (data center moratorium), OK",OK,2026-06-08,Oklahoma City,2026-04-22
"Montgomery County (Executive Elrich 6-month data center moratorium EO), MD",MD,2026-06-13,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
"Borough of Red Bank (data center ban + first NJ call for statewide moratorium), NJ",NJ,2026-06-11,Pemberton Township,2026-02-20
"Old Bridge Township (drafting permanent data center ban), NJ",NJ,2026-06-12,Pemberton Township,2026-02-20
"Spartanburg County (Council directs drafting of data center moratorium), SC",SC,2026-06-22,Spartanburg County (NorthMark/Project Spero),2026-02-27
"Greenwood County (1-year data center moratorium under consideration), SC",SC,2026-07-07,"Newberry County (1-year moratorium + land-purchase denial), SC",2026-06-04
"Edgerton (DAMAC data center denied; 6-month moratorium also denied), KS",KS,2026-06-11,"Gardner, KS",2026-05-06
"Council Bluffs (data center moratorium denied), IA",IA,2026-06-15,Otoe County,2026-05-19
"Liberty Township, Butler County (data center PUD-review requirement), OH",OH,2026-06-15,Preble County,2025-10-01
"Hood County (Comanche Circle data center approved without conditions under lawsuit threat), TX",TX,2026-06-17,Hood County (Tolar / Comanche Circle),2026-01-13
City of Holyoke,MA,2026-06-18,Connecticut,2026-03-06
Sayreville Borough,NJ,2026-06-15,Pemberton Township,2026-02-20
Bernards Township,NJ,2026-06-18,Pemberton Township,2026-02-20
City of Asbury Park,NJ,2026-06-10,Pemberton Township,2026-02-20
Chester County,SC,2026-06-15,Spartanburg County (NorthMark/Project Spero),2026-02-27
Warren County,TN,2026-06-22,"McMinnville (18-month data center moratorium, first reading), TN",2026-06-09
Butler County,OH,2026-06-16,Preble County,2025-10-01
City of Springfield (Clark County),OH,2026-06-16,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Winnebago County,WI,2026-06-16,Village of Greenleaf,2026-01-13
Broken Arrow,OK,2026-06-15,Coweta,2026-01-19
City of Henderson,NV,2026-06-16,"Boulder City, NV (Townsite Solar 2 Data Center — second town hall + ballot initiative)",2026-05-06
Jefferson County,CO,2026-05-19,Denver,2026-05-18
"U.S. House Energy and Commerce Committee, Energy Subcommittee (data center / grid bill package incl. Ratepayer Protection Act)",US,2026-06-24,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Pittsburg,CA,2026-06-15,City of Oakley,2026-04-15
Versailles,KY,2026-06-16,Mercer County (moratorium),2026-02-19
Franklin Park Borough,PA,2026-06-17,"City of Hubbard (Trumbull County — moratorium drafted amid 'Project Milo' NDA controversy), OH",2026-06-02
Bowling Green,KY,2026-06-16,"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",2026-06-01
"Virginia (statewide — Sen. Louise Lucas 'Data Center Listening Tour', Manassas & Chesterfield stops)",VA,2026-06-15,Charles City County,2025-08-01
Michigan (statewide — Senate Democrats data center package),MI,2026-06-18,Dexter Township,2026-02-01
"Oklahoma (Sand Springs, Claremore, Coweta, Luther, Yukon, Stillwater)",OK,2026-06-17,Oklahoma City,2026-04-22
Clark County,NV,2026-06-18,"Boulder City, NV (Townsite Solar 2 Data Center — second town hall + ballot initiative)",2026-05-06
Lordstown (Trumbull County),OH,2026-06-15,Perry Township,2025-07-01
United States (national),US,2026-06-11,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Maryland General Assembly (80 state lawmakers file support for OPC's FERC complaint on PJM data-center transmission cost allocation),MD,2026-06-17,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
"U.S. House of Representatives (AI Data Center Moratorium Act, House companion H.R.9442)",US,2026-06-24,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Village of Wrightstown,WI,2026-07-07,Town of Carlton,2025-12-01
Dodge County Board of Supervisors,WI,2026-06-22,City of Madison,2026-01-13
City of Eagan (developer lawsuit against data center moratorium),MN,2026-06-15,Minnesota (statewide moratorium proposal),2026-02-20
Dublin City Council (West Innovation District rezoning),OH,2026-07-01,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Indianapolis Metropolitan Development Commission (data center development standards recommendation),IN,2026-07-01,Franklin Township (Indianapolis),2025-09-22
Michigan State Capitol ('People Over Data Centers' rally + HB 5396-5398 tax exemption repeal),MI,2026-06-23,Dexter Township,2026-02-01
Cache County Council,UT,2026-06-23,"Box Elder County (180-day data center moratorium; Stratos/MIDA exempt), UT",2026-06-17
Clark County Commission (Sierra Club rally + data center ordinance discussion),NV,2026-07-07,"Boulder City, NV (Townsite Solar 2 Data Center — second town hall + ballot initiative)",2026-05-06
Prince William County Board of Supervisors (Dulles South Innovation Center denial),VA,2026-07-07,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Prince William County (data center decommissioning policy framework),VA,2026-06-23,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Virginia State Corporation Commission (Dominion Golden-to-Mars transmission line route),VA,2026-06-29,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Frederick County Board of Supervisors (Virginia Technology Park rezoning),VA,2026-07-08,Front Royal Town Council,2026-07-07
Chesterfield County (community pushback on Google's 3-campus buildout),VA,2026-06-24,Charles City County,2025-08-01
Hanover County (Iron Horse data center proposal deferred),VA,2026-06-19,Charles City County,2025-08-01
Commonwealth of Virginia (data center electricity consumption tax + Tier IV generator permit rule take effect),VA,2026-07-01,Charles City County,2025-08-01
Muscogee County / Columbus (lawsuit over technology overlay district),GA,2026-06-26,Columbus (Muscogee County),2026-06-16
Coweta County (Project Oak resident survey),GA,2026-06-24,Griffin (Spalding County),2026-01-13
DeKalb County Board of Commissioners (Data Center Text Amendment defeated),GA,2026-06-23,Griffin (Spalding County),2026-01-13
Georgia Public Service Commission (fuel-cost investigation into data center ratepayer subsidies),GA,2026-07-08,Griffin (Spalding County),2026-01-13
Covington (Georgia EPD halts unpermitted gas plant serving Serverfarm),GA,2026-07-03,Griffin (Spalding County),2026-01-13
North Carolina Utilities Commission (Duke Energy large-load data center tariff rate case),NC,2026-07-07,Orange County,2026-04-21
"Spartanburg County Council (moratorium, first reading)",SC,2026-07-20,York County,2026-07-13
Fisk University (self-developed data center/tech center opposition),TN,2026-06-30,"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",2026-06-01
Knox County Commission,TN,2026-06-22,Swain County,2026-04-01
Knoxville City Council,TN,2026-07-07,Swain County,2026-04-01
Loudon County Commission,TN,2026-06-30,"Anderson County (2-year moratorium on data centers, crypto mining, battery storage), TN",2026-06-15
State of Florida (SB 484 data center ratepayer/zoning/water protections),FL,2026-07-01,Thomas County,2026-01-20
Fort Meade (lawsuit over 'Project Stonebridge'),FL,2026-06-30,DeSoto County,2026-05-19
Cullman City Council,AL,2026-06-22,Birmingham,2026-03-03
Oldham County Fiscal Court (moratorium blocking 'Project Lincoln'),KY,2026-07-01,Versailles,2026-06-16
Butler County Fiscal Court,KY,2026-06-30,"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",2026-06-01
Town of Lansing (TeraWulf 'Cayuga Data Campus' petition),NY,2026-06-17,Lysander,2026-05-07
State of New Jersey (S731/A796 'Data Center Fair Share Act' signed),NJ,2026-07-07,Conshohocken / Plymouth Township,2025-10-01
New Jersey General Assembly (S4390/A5165 AI/data center tax credit clawback),NJ,2026-06-30,Conshohocken / Plymouth Township,2025-10-01
Monroe Township Council (ordinance striking 'data processing facilities' from zoning code),NJ,2026-06-29,Conshohocken / Plymouth Township,2025-10-01
Gregg Township / Union County (PNK Group data center retrofit),PA,2026-07-04,Mount Carmel Township,2026-05-14
Maryland Supreme Court (blocks Frederick County referendum on Critical Digital Infrastructure Overlay Zone),MD,2026-06-30,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Frederick County (executive order pauses new Critical Digital Infrastructure applications),MD,2026-07-01,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Prince George's County Council (2-year data center moratorium),MD,2026-07-07,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
"City of Westfield (1-year data center moratorium, final vote)",MA,2026-07-06,Connecticut,2026-03-06
"State of Delaware (SB 326, HB 233, HB 445 -- data center energy/ratepayer bills)",DE,2026-07-01,"Millville Board of Commissioners (Cumberland County — total data center ban), NJ",2026-05-19
Middleton Township,OH,2026-07-07,Gibraltar,2026-03-09
New Albany,IN,2026-07-08,Meade County (moratorium),2026-01-13
New Carlisle (Olive Township),IN,2026-07-08,Marshall County,2026-04-20
Mount Pleasant (Microsoft Fairwater noise class-action lawsuit),WI,2026-07-01,Village of Yorkville,2025-12-08
Hoffman Estates,IL,2026-07-01,Village of Yorkville,2025-12-08
North Mankato,MN,2026-07-06,City of Carver,2026-04-06
St. Charles County,MO,2026-07-14,St. Charles (Permanent Ban),2026-05-19
Bell County (Murray Industries construction moratorium),TX,2026-07-02,Hutto,2026-04-17
City of Taylor (citizen data-center-ban petition rejected),TX,2026-07-09,Hutto,2026-04-17
Aurora,CO,2026-07-08,Denver,2026-05-18
San Jose,CA,2026-07-12,City of Oakley,2026-04-15
Cheyenne (water contamination / discharge ban tied to Meta contractor),WY,2026-07-02,Cheyenne (Microsoft expansion),2026-04-14
Virginia State Capitol (statewide rally for a data center approval halt),VA,2026-07-11,Charles City County,2025-08-01
Marietta City Council,GA,2026-07-08,Gordon County,2026-02-04
Spartanburg County (Valara Holdings $2.8B data center lawsuit),SC,2026-07-13,Spartanburg County (NorthMark/Project Spero),2026-02-27
Burgin City Council (annexation for hyperscale data center),KY,2026-07-09,Mercer County (moratorium),2026-02-19
Town of Warren (180-day data center moratorium),ME,2026-07-08,Bangor,2026-04-13
Pennsylvania Senate Rules & Executive Nominations Committee (SB 1345),PA,2026-07-13,Mount Carmel Township,2026-05-14
Nutley Board of Commissioners (ON3 campus data center parcel),NJ,2026-07-13,"Warren Township, Somerset County (data center ban, first reading), NJ",2026-06-18
New Haven Board of Alders (12-month data center moratorium ordinance),CT,2026-07-06,Connecticut,2026-03-06
Oshkosh,WI,2026-07-14,Village of Greenleaf,2026-01-13
Mankato,MN,2026-07-13,City of Carver,2026-04-06
Roane County,TN,2026-07-14,"Anderson County (2-year moratorium on data centers, crypto mining, battery storage), TN",2026-06-15
Virginia State Corporation Commission (Dominion Rider T-1),VA,2026-07-14,Charles City County,2025-08-01
Cass County,NE,2026-07-13,Otoe County,2026-05-19
Birmingham,AL,2026-07-13,Birmingham,2026-03-03
Jersey City,NJ,2026-07-15,"Warren Township, Somerset County (data center ban, first reading), NJ",2026-06-18
Town of Alabama (Genesee County),NY,2026-07-13,North Tonawanda,2026-06-16
Nashville/Davidson County,TN,2026-07-21,"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",2026-06-01
Mercer County Fiscal Court,KY,2026-07-14,Mercer County (moratorium),2026-02-19
New Albany (Licking County),OH,2026-07-16,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Lansing,MI,2026-07-15,Dexter Township,2026-02-01
Warren (Macomb County),MI,2026-07-14,Northville,2026-01-06
Logan County,NE,2026-07-16,Broken Bow,2026-07-14
Marana,AZ,2026-06-22,"Pinal County (Eloy — La Osa campus scaled back ~80% after opposition), AZ",2026-05-28
Loudoun County (Spring Valley Tech Park public hearing),VA,2026-07-23,"Howard County (temporary data center moratorium through Nov 2027), MD",2026-06-02
Lee County (Sanford/Lower Moncure Road),NC,2026-07-16,Orange County,2026-04-21
Cherokee County,GA,2026-07-22,Gordon County,2026-02-04
Albany,GA,2026-07-21,Dougherty County,2026-07-20
Brookwood,AL,2026-08-11,Birmingham,2026-03-03
Neptune Township,NJ,2026-07-13,Pemberton Township,2026-02-20
Falls Township (Bucks County),PA,2026-07-27,Conshohocken / Plymouth Township,2025-10-01
North Beaver & Mahoning Townships (Lawrence County),PA,2026-07-16,"Lordstown Village Council, OH",2026-06-16
Weatherford (Parker County),TX,2026-06-09,Hood County (Tolar / Comanche Circle),2026-01-13
"Plymouth Township (Montgomery County — Cleveland-Cliffs steel mill site data center resubmitted after legal-technicality withdrawal), PA",PA,2026-07-27,Conshohocken / Plymouth Township,2025-10-01
State of Ohio,OH,2026-07-27,Commercial Point / Scioto Township (Pickaway County),2026-03-01
Milwaukee,WI,2026-07-28,Village of Yorkville,2025-12-08
Town of Janesville (Rock County),WI,2026-07-29,City of Madison,2026-01-13
State of Nebraska,NE,2026-07-20,Otoe County,2026-05-19
City of Lawrence (Douglas County),KS,2026-07-14,"Gardner, KS",2026-05-06
State of Nevada,NV,2026-07-28,Reno (Title 18 text amendment),2026-04-22
State of Virginia,VA,2026-07-28,Charles City County,2025-08-01
Harrison County,KY,2026-07-29,Mt. Orab,2026-02-04
Cherry Hill Township,NJ,2026-07-28,Conshohocken / Plymouth Township,2025-10-01
"Coachella (permanent data center ban ordinance), CA",CA,2026-08-12,Coachella,2026-06-04
Sumner County,TN,2026-07-29,"Cedar Hill (Robertson County — mayor proposing 2-year data center + crypto moratorium), TN",2026-06-01
Floyd County,GA,2026-06-09,Gordon County,2026-02-04
Hamilton County,TN,2026-07-15,Gordon County,2026-02-04
Coffee County,TN,2026-06-09,Grundy County,2026-05-18
Walker County,GA,2026-07-09,Gordon County,2026-02-04
Dunn County,ND,2026-03-18,Mercer County,2026-03-03
Morgan County,IL,2026-04-27,Sangamon County,2026-02-01
Shelby County,IN,2026-02-23,Hancock County,2025-06-01
Pulaski County,IN,2026-01-20,Starke County,2025-12-04
Brooks County,GA,2026-02-02,Thomas County,2026-01-20
Decatur County,GA,2026-04-14,Thomas County,2026-01-20
Polk County,GA,2026-03-03,Gordon County,2026-02-04
Cass County data center ban,IN,2026-07-06,Marshall County,2026-04-20
Clay County data center ban,NC,2026-01-08,Habersham County (Cornelia / Big Red Apple),2025-12-01
Montgomery County,PA,2026-04-01,Conshohocken / Plymouth Township,2025-10-01
