id,name,type,phase,status,state,towns,counties,address,lat,lon,size_acres,capacity_mw,scale,date,lastUpdated,yearOpened,jobsConstruction,jobsLongTerm,jobsTotal,companies,zoningAllowance,landSold,bringingOwnEnergy,approx,locationTbd,moratoriumExempt,info,createdAt,updatedAt,outcome_detail
86,Pavilion Township Data Center,Data Center,withdrawn,,Michigan,Pavilion Township,Kalamazoo County,South 26th Street and East N Avenue,42.24339147,-85.50878237,265,,0,2025,2026-3-13,,,,,Franklin Partners LLC,unknown,TRUE,unknown,False,False,False,"Franklin Partners is proposing a data center on farmland at the intersection of South 26th Street and East N Avenue. This proposal remains paused, largely due to community opposition, zoning issues, and concerns about energy and water consumption.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
87,Sansone York Township Data Center,Data Center,preliminary,,Michigan,York Township,Washtenaw County,"Across from Toyota Motor North American R&D Headquarters, between E Willis Rd, Platt Rd, and Bemis Rd ",42.16225032,-83.7038859,412,1000,0,2025-12,2026-3-13,,,,,Sansone Group,unknown,unknown,unknown,False,False,False,"Sansone Group, a St. Louis-based real estate developer, is exploring the purchase of ~412 acres owned by Toyota for a potential hyperscale data center campus. Located between Platt Road and Willis Road, this facility would supposedly have a capacity of 1 GW. As of early 2026, no formal development application has been submitted to local authorities, and discussions about the project remain preliminary.",2026-03-16T06:56:34.333Z,2026-07-02T00:23:46.698Z,
88,Metrobloks Southfield Data Center,Data Center,proposed,,Michigan,Southfield,Oakland County,"Along Inkster Road, south of I-696",42.48814798,-83.31696816,12.19,100,0,2025-12,2026-3-13,,,,,Metrobloks,TRUE,TRUE,TRUE,False,False,False,"Metrobloks is proposing a two-story, 109,683-square-foot data center on approximately 12 acres of vacant land in Southfield. This proposal utilizes closed-loop cooling and involves the construction of a new substation for powering the facility, at the developers expense. This proposal is significantly smaller than many data center projects proposed elsewhere in Michigan.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
89,Clinton Amazon Data Center,Data Center,approved,,Mississippi,Clinton,Hinds County,1001 Industrial Park Drive,32.34892761,-90.36632151,,,0,2026-1,2026-4-30,,,100,,Amazon Data Services,TRUE,TRUE,unknown,False,True,False,"Amazon's Clinton data center project, announced in April 2026, retrofits the former Delphi Corporation and Milwaukee Tool plant and represents Amazon's first location in the city, with a planned investment of $1 billion and the creation of 100 jobs. Amazon has mentioned that the Clinton facility will use no water for cooling operations. According to WLBT, on January 15th, Clinton and Hinds County both held special meetings to discuss a FILOT agreement with an unnamed entity. Almost a month later, Amazon Data Services acquired the property. On March 2nd, city documents were found tying the tax deal to a data center.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
90,Ridgeland Amazon Data Center,Data Center,proposed,,Mississippi,Ridgeland,Madison County,Corner of Highland Colony Parkway and West County Line Road,32.40768028,-90.19301896,,,0,2026-4,2026-5-20,,,,,Amazon Web Services,TRUE,TRUE,unknown,False,True,False,"Governor Tate Reeves announced in April 2026 that Amazon will invest an additional $11 billion to expand its existing data center operations in Madison County, with one of the new facilities located in Ridgeland. The Ridgeland site is located on the Costas Property, west of Tougaloo College near County Line Road. The Ridgeland campus is expected to use groundwater only about 30 days of the year, or roughly 9% of the time.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
91,Canton Amazon Data Center,Data Center,construction,,Mississippi,Canton,Madison County,Madison County Mega Site,32.59492205,-90.09454526,1700,,700,2024,2026-4-15,,,,,Amazon Web Services,TRUE,TRUE,unknown,True,True,False,"Amazon Web Services is investing $10 billion to build a hyperscale data center complex outside of Canton at the Madison County Mega Site, spanning part of roughly 1,700 acres across two sites. Amazon broke ground on this campus two years ago, and it was the largest capital investment in Mississippi's history at the time. Amazon has pledged to use 100% recycled water to cool the servers at its Canton data centers.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
92,Vicksburg Amazon Data Center,Data Center,proposed,,Mississippi,Vicksburg,Warren County,U.S. 61 South Warren,32.27324166,-90.90165068,,,0,2025-11,2026-4-15,,,200,,Amazon Web Services,TRUE,TRUE,TRUE,False,False,False,"Amazon announced in November 2025 a $3 billion AI data center off U.S. 61 South Warren, with construction set to begin in 2026, along with a $150,000 educational grant for Warren County. The facility is expected to create at least 200 high-paying full-time jobs and falls under Mississippi's 2024 Major Economic Impact Authority legislation that has supported Amazon's broader data center expansion in the state.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
93,Project Taurus,Data Center,proposed,,Mississippi,Brandon,Rankin County,East Metropolitan Center Business Park,32.26966137,-90.01367672,175,450,1000,2025-8,2026-4-15,,,,,AVAIO Digital Partners; Entergy,unknown,unknown,unknown,True,True,False,"AVAIO Digital Partners is planning a $6 billion data center campus, nicknamed Project Taurus, on 175 acres in the East Metropolitan Center Business Park. Announced in Aug 2025, the AI-ready campus will support cloud and AI workloads with sustainable design (rainwater capture, solar, efficient cooling). The project will be powered by Entergy and have multi-hundred-megawatt capacity (~450 MW online by 2027). Initial phases will create about 60 direct high-tech jobs (plus hundreds of construction and support jobs).",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
94,Meridian Compass Data Center,Data Center,construction,,Mississippi,Meridian,Lauderdale County,Meridian I‑20/59 Industrial Park,32.39009521,-88.62001053,,500,0,2025-1,2026-4-15,,,,,Compass Datacenters,TRUE,TRUE,unknown,False,True,False,"The Compass Datacenters campus being constructed in Meridian is a $10 billion hyperscale project comprising eight data center buildings, each 250,000 square feet with 40 MW of IT capacity, to be built over eight years in Lauderdale County. The official groundbreaking was held on January 28, 2025, with the first data center anticipated to be completed by 2026, and the facility will be powered by approximately 500 MW from Mississippi Power. The project is expected to create thousands of jobs and, alongside a separate $10 billion Amazon Web Services campus in Madison County, represents one of the largest economic development investments in Mississippi's history.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
95,Clarksdale Data Center,Rezone for Data Center,preliminary,,Mississippi,Clarksdale,Coahoma County,Adjacent Hwy 61 and the Sunflower Ave,34.17249603,-90.56381427,648,,0,2026-3,2026-4-15,,,,,Undisclosed Developer,TRUE,TRUE,unknown,False,False,False,"In March 2026, Clarksdale officials voted to approve a rezone with conditions to allow for a data center on a 648-acre site. The developer would be required to pay one-time $5-million impact fee prior to any work.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
96,xAI MACROHARDRR,Data Center,construction,,Mississippi,Southhaven,DeSoto County,2400 Stateline Road W,34.99342701,-90.03423007,18.3654729,,0,2026-1,2026-4-15,,,,,xAI,TRUE,TRUE,unknown,False,False,False,"xAI is investing over $20 billion to build a major data center in Southaven, Mississippi, known as MACROHARDRR, a playful jab at rival Microsoft. The 800,000-square-foot facility sits in DeSoto County adjacent to the Tennessee border, forming part of a tri-center AI cluster that xAI CFO Anthony Armstrong described as housing ""the world's largest supercomputer"" with a combined 2 gigawatts of computing power. Governor Tate Reeves called it the largest private investment in the state's history, with the project expected to bring hundreds of permanent jobs and significant tax revenue to DeSoto County. Despite the enthusiasm, the NAACP and the Southern Environmental Law Center have raised concerns over air pollution near predominantly Black communities in Memphis, and a local advocacy group submitted a petition citing concerns about noise and emissions from the gas turbines powering the site.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
97,Nebius Independence Hyperscale Campus,Data Center,construction,,Missouri,Independence,Jackson County,Eastgate Commerce Center near Little Blue Parkway and Highway 78,39.10174683,-94.30901867,398,800,0,2026,2026-5-20,,1200,130,,Nebius,TRUE,TRUE,TRUE,False,False,False,"Nebius is planning a roughly $6.6 billion hyperscale AI data center campus on roughly 398 acres. IT capacity is expected be 800 MW to 1.2 GW with up to 10 buildings. Project power is tied to the reopened Blue Valley Power Plant. According to Nebius, the project will create approximately 1200 construction jobs and 130 permanent high-tech positions at full operation.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
98,Project Green,Data Center,approved,,Missouri,New Florence,Montgomery County,Intersection of Highway 70 and Highway 19,38.90206436,-91.42407949,1000,,0,2026-1,2026-5-9,,,,,Amazon Web Services; NorthPoint Development,TRUE,TRUE,unknown,False,False,False,"AWS's 'Project Green' via NorthPoint Development is a roughly 1,000-acre hyperscale campus near New Florence with up to 21 buildings and minimum investment cited around $8.5 billion.",2026-03-16T06:56:34.333Z,2026-07-17T22:26:35.159Z,
99,Project Spade,Data Center,approved,,Missouri,New Florence,Montgomery County,Along Highway 70,38.88882499,-91.43708207,910,1200,0,2025-11,2026-5-9,,,,,Google; Related Digital,TRUE,TRUE,unknown,False,False,False,"Google is developing 'Project Spade' via Related Digital, which is the second New Florence-area hyperscale campus, described as about 780 plus 130 acres with site plan approval in November 2025. According to Related Digital, the facility would deliver 1.2 GW of utility capacity.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
100,Crusoe Warrenton AI Data Center,Data Center,approved,,Missouri,Warrenton,Warren County,22151 NW Service Road,38.82899456,-91.1825948,,,0,2026,2026-5-21,,,,,Warrenton DC Owner 1 LLC; Crusoe,TRUE,TRUE,TRUE,False,False,False,"Crusoe received approval for their conditional use application to construct a data center campus off Route 70. Plans feature 2 data center buildings, each around 800,000 square feet, along with an electric substation, a switchyard, and an administration building.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
101,Wildwood Ranch AI Data Center,Data Center,approved,,Missouri,Joplin,Jasper County,Intersection of Central City Road and West 20th Street,37.07096304,-94.58386453,600,200,1000,2026,2026-5-9,,,,,Wildwood Ranch LLC,TRUE,TRUE,unknown,True,True,False,Wildwood Ranch LLC is proposing an AI data center on the Wildwood Ranch site after 540 acres were annexed and more than 600 acres rezoned to M-2. Potential capacity is described as at least 200 MW. An end user/tenant has not been not disclosed.,2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
102,CRG Festus Data Center,Data Center,approved,,Missouri,Festus,Jefferson County,Near Old England Road,38.19524083,-90.42875363,360,,0,,2026-5-9,,,,,CRG; Clayco,TRUE,TRUE,unknown,False,False,False,"CRG, the real estate development arm of Clayco, is moving forward with a controversial $6 billion, ~360-acre hyperscale data center project in Festus, despite intense local opposition and a pending lawsuit from residents. The project, located near Highway 67, was approved by the city council in March 2026, leading to a complete turnover of local leadership in subsequent elections.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
103,Armory Innovation Data Center,Data Center,approved,,Missouri,St. Louis,St. Louis County,3728 Market Street,38.63165907,-90.23951136,,120,200,,2026-5-9,,,,,Contour; TeraWatt; THO; Steadfast; ARCO; Lewis Rice,TRUE,TRUE,unknown,True,True,False,"Armory Innovation Data Center is a 525,000-square-foot, 120 MW, approximately $3B project near the Armory in St. Louis. City permit approval/final approval was reported in April 2026.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
104,Mo Lake Development Cross Creek Data Center,Data Center,rejected,,Missouri,,Camden County,"Unknown, somewhere north of Camdenton at the planned development",38.03465334,-92.7410058,,,1500,2026,2026-5-9,,,,,Mo Lake Development,FALSE,unknown,unknown,True,True,False,"Proposed roughly 500,000-square-foot data center at Cross Creek Subdivision near Camdenton. Camden County rejected the Opportunity Zone 3-0 in April 2025, and Camdenton later passed a one-year moratorium.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
105,Metrobloks Liberty Data Center Campus,Data Center,approved,,Missouri,Liberty,Clay County,2515-2525 Old Hughes Road,39.20719259,-94.45399285,30,150,0,,2026-5-9,,,,,Metrobloks; Lincoln,TRUE,TRUE,unknown,False,False,False,"Metrobloks announced a $1.4B AI-ready data center campus at 2515 Old Hughes Road, planned for 568,800 square feet across three buildings and about 150 MW. According to Metrobloks, the site is approximately 30 acres in total.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
106,White Cloud Acres,Data Center,proposed,,Missouri,Maryville,Nodaway County,Unknown location,40.17786437,-94.78400949,,600,6000,,2026-5-9,,1000,130,,Scale Microgrids,unknown,unknown,TRUE,True,True,False,"Scale Microgrids is proposing AI data center and off-grid natural gas power plant somewhere in southern Nodaway County near Maryville, representing an approximately $6 billion investment in total.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
107,Lambda AI Factory,Data Center,approved,,Missouri,Kansas City,Jackson County,11155 North Airworld Drive,39.29569711,-94.67402441,,24,0,,2026-5-9,,,,,Lambda,TRUE,TRUE,unknown,False,False,False,"Lambda, the Superintelligence Cloud, announced in October 2025 that they are planning to transform an unoccupied 2009 facility into an AI factory in Kansas City. The site is expected to launch in early 2026 with 24MW of capacity, and the potential to scale up to more than 100MW in the future.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
108,Jasper County Powered Data Park / Sarcoxie Data Center,Data Center,proposed,,Missouri,Sarcoxie,Jasper County,Between County Road 20 and County Road 30,37.12580862,-94.10210599,,,0,,2026-5-9,,,,,Geronimo Power,unknown,unknown,unknown,False,False,False,Geronimo Power proposed a hyperscale data center with co-located solar farm and battery park in eastern Jasper County south of Highway 96 and west of La Russell.,2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
109,Oppidan Foristell Data Center Sites,Data Center,proposed,,Missouri,Foristell,St. Charles County/Warren County,Near Interstate 70,38.81659009,-90.95349831,400,,2000,,2026-5-9,,,,,Oppidan Investment Company; Connect,unknown,unknown,unknown,True,True,False,"Oppidan Investment Company and its subsidiary, Connect, are pursuing two potential data center sites totaling more than 400 acres along I-70. After resident opposition, annexation was amended to retain agricultural zoning.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
110,Meramec Valley Technology Park,Data Center,proposed,,Missouri,Pacific,Franklin County,Along Highway O,38.43474091,-90.7592958,500,,0,2026,2026-5-9,,,,,Beltline Energy; Logistix,TRUE,TRUE,TRUE,False,False,False,"The Meramec Valley Technology Park is a proposed 500-acre, 16-building data center campus in rural Franklin County, near Pacific. Developed by Logistix, the $16 billion project includes a massive data center complex and a new natural gas-fired power plant. It faces significant resident opposition over noise, environmental, and infrastructure concerns. Visuals of the site plan include a new substation and multiple stormwater detention ponds.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
111,Gateway Digital Campus,Data Center,approved,,Missouri,Villa Ridge,Franklin County,Near the intersection of MO-100 and I-44 ,38.47277567,-90.84330248,575,,0,2026,2026-5-9,,2000,250,,Provident Data Centers,TRUE,TRUE,TRUE,False,False,False,"Provident Data Centers' Gateway Digital Campus, to be located at Diamond Farms, is a 13-building hyperscale proposal on approximately 575 acres at MO-100/I-44 near Gray Summit. Franklin County Planning & Zoning recommended approval by a 5-4 vote on April 21, 2026.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
112,Meta Kansas City Data Center,Data Center,operational,,Missouri,Smithville,Clay County,Along NW 128 Street and Arrowhead Trafficway,39.32251284,-94.59398023,,,0,2025,2026-5-9,,,,,Meta; Diode Ventures,TRUE,TRUE,unknown,False,True,False,Meta's Kansas City Data Center at Diode Ventures' Golden Plains Technology Park near I-435/US-169. The source row describes the campus as operational plus under construction.,2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
113,Project Mica,Data Center,construction,,Missouri,Smithville,Clay County,Northeast corner of Interstate 435 and Highway 169,39.31526749,-94.59489243,500,700,700,2026-2,2026-5-9,,,,,Google; Diode Ventures,TRUE,TRUE,unknown,True,True,False,"Google's Project Mica is a planned/active $10B data center campus near Smithville/Kansas City, described as roughly 500 acres, five buildings, and about 700 MW.",2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
114,Marshfield Webster Data Center,Data Center,construction,,Missouri,Marshfield,Webster County,Along Rifle Range Road,37.36525146,-92.88822467,5,,0,2026,2026-5-9,,,,,Lumon Solutions,unknown,TRUE,unknown,False,True,False,"Lumon Solutions / Lumon Solutions Marshfield, LLC, a company local to Webster County, is building a small-scale high-performance computing (HPC) facility on approximately five acres on Rifle Range Road north of Marshfield near a substation. According to a developer associated with the project, the current plan consists of several small modular buildings totaling approximately 7,000 square feet, as opposed to large hyperscale data center campuses that can reach over 1 million square feet.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
115,Project Cumulus,Data Center,withdrawn,,Missouri,St. Charles,St. Charles County,"Near Highway 370, between Huster Road and Harry S Truman Boulevard",38.81601246,-90.54683674,440,,0,2025-3,2026-5-9,,,,,CRG; Clayco,TRUE,TRUE,unknown,False,False,False,"Project Cumulus was a hyperscale data center proposal by CRG, the development arm of construction giant Clayco, for an unnamed Fortune 100 customer on a 440-acre site off Highway 370 in St. Charles. On August 18, 2025, CRG notified the city it was withdrawing its conditional use permit application, pulling the project from the August 19 City Council agenda. Notably, CRG framed the withdrawal as temporary, stating its intent to return with a revised proposal rather than abandon the project outright. Only a few days later, the St. Charles City Council unanimously passed a one-year moratorium on new data center applications, making St. Charles the first city in the nation to enact a citywide ban on data center construction.",2026-03-16T06:56:34.333Z,2026-05-22T03:02:50.306Z,
116,DataOne Vineland,Data Center,construction,,New Jersey,Vineland,Cumberland County,805 Sheridan Avenue,39.42766589,-75.0167957,,300,0,2024-2026,2026-5-20,,,,,DataOne; Ardian; BSO; DataOne; Nebius Group; Microsoft; Vineland Municipal Utilities; Atlantic City Electric,TRUE,TRUE,unknown,False,True,False,"DataOne, a French company backed by infrastructure investor Ardian and launched through global connectivity firm BSO, is constructing a large-scale AI data center in Vineland, in partnership with Amsterdam-based Nebius Group. The facility, located on South Lincoln Avenue off Route 55, was originally planned at 2.4 million square feet but has since been scaled back to under 718,000 square feet. It is designed to reach 300 megawatts of capacity, generating 85% of its power on-site via natural gas with the remaining 15% drawn from Vineland Municipal Utilities and Atlantic City Electric. \n In January 2026, the Vineland City Council voted unanimously to approve a PILOT (Payment in Lieu of Taxes) agreement, giving DataOne tax breaks in exchange for direct payments to the city; DataOne separately declined a $6.2 million city loan following resident opposition. The company has promised more than 200 permanent jobs and plans to operate an on-site vertical farm that would use the facility's heat and CO₂ waste to provide produce to low-income residents. Despite these commitments, the project has drawn sustained community pushback — including a protest of roughly 100 residents in March 2026 — over concerns about emissions, construction noise, and a lack of transparency. Construction is ongoing, with a target completion date of November 2026.",2026-03-16T06:56:34.333Z,2026-06-23T20:28:15.495Z,
117,Princeton Nurseries Data Center,Data Center,proposed,,New Jersey,South Brunswick Township,Middlesex County,"Former Princeton Nurseries site, off Route 1",40.3616451,-74.60748403,160,,0,2025,2026-2-7,,,,,WRV Nurseries South Brunswick LLC,false,true,unknown,False,True,False,WRV Nurseries South Brunswick LLC has proposed a 160-acre data center project on the former Princeton Nurseries site.,2026-03-16T06:56:34.333Z,2026-05-22T19:28:19.096Z,
118,Nutley Data Center,Data Center,proposed,,New Jersey,Nutley,Essex County,275 Kingsland Street,40.82934313,-74.15375476,11,,0,2025,2026-2-7,,,,,Prism Capital Partners,false,false,unknown,False,False,False,Prism Capital Partners has been granted approval to redevelop the former Hoffmann-La Roche site into a data center.,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
119,New Brunswick Data Center,Data Center,withdrawn,,New Jersey,New Brunswick,Middlesex County,100 Jersey Ave,40.48746648,-74.4575096,,,0,2025,2026-2-21,,,,,Undisclosed Developer,false,false,unknown,False,False,False,"Developers proposed a small 27,000-square-foot data center at a blighted site at 100 Jersey Ave. As of mid-February, the New Brunswick City Council has voted against the project, and instead plan on building a park in its place.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
120,East Greenwich Township Data Center,Data Center,withdrawn,,New Jersey,East Greenwich Township,Gloucester County,114 Mantua Road,39.79936564,-75.19931475,,,0,2026-3,2026-6-16,,,,,American Tower,FALSE,TRUE,unknown,False,True,False,"American Tower is proposing an 17,000-square-foot “unmanned data storage center” on residentially zoned land along Mantua Road, adjacent to the Oak Ridge housing development. In June 20-26, the developer withdrew the project application.",2026-03-16T06:56:34.333Z,2026-06-17T22:10:26.090Z,
121,CoreWeave Kenilworth,Data Center,construction,,New Jersey,Kenilworth Borough,Union County,Onyx’s NEST Campus,40.6779928,-74.27441747,27,250,0,2025,2026-4-14,,,,,CoreWeave,TRUE,TRUE,unknown,False,True,False,"CoreWeave is constructing a $1.8 billion AI data center across 392,600 square feet at the former Merck & Co. campus. This project was the first granted a $250 million tax credit award under the Next New Jersey Program – AI (NJEDA), which is aimed at drawing significant capital investment, creating high-paying jobs and cementing New Jersey’s position as a leader in the AI industry economy, according to the EDA. Construction began in late 2025, and operation is anticipated in early 2027.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
122,Millville Energy & Data Center Campus,Data Center,rejected,,New Jersey,Millville,Cumberland County,Former Wheaton Glass Factory,39.4088032,-75.0332377,,,700,2026-5,2026-05-20,,,,,A1 Data Center,unknown,TRUE,unknown,True,True,False,"A proposal for a 2.6 million-square-foot, 1.4GW (scaled) hyperscale AI and HPC data center campus was rejected by Millville Commissioners on May 19 via a data center ban. According to the official project website, the campus would have featured five data center buildings, an on-site existing substation, and a ""gas house.""",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
123,Monroe Township Data Center,Data Center,rejected,,New Jersey,Monroe Township,Gloucester County,Along South Black Horse Pike,39.63068297,-74.93468954,172,,0,2026-3,2026-05-20,,,,,Hexa Builders,unknown,unknown,unknown,False,True,False,"Monroe Township in Gloucester County, New Jersey has effectively blocked a proposed data center after its planning board denied an application from Hexa Builders for a project on 172 acres of vacant farmland. The proposal would have included a 1 million-square-foot data center alongside a 522,000-square-foot warehouse, but was rejected on the grounds that the application was ""incomplete."" \n The township had already passed a ban on data centers in April 2026, driven by resident concerns over electricity and water consumption, noise, and general quality-of-life impacts. Hexa's application had to be considered regardless because it predated the ban, but with its denial, the ban is now fully in effect.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
124,STAMP Data Center,Data Center,proposed,,New York,Alabama,Genesee County,"Alabama, Genesee County",42.9915,-78.304,,500,1000,2025,2026-7-14,,,120,,Stream Data Centers,TRUE,TRUE,unknown,True,True,False,"Stream Data Centers, a Texas-based company, has proposed a 2.2-million-square-foot multi-billion-dollar data center at the STAMP site. The project is expected to create more than 120 permanent jobs plus hundreds of construction jobs, with groundbreaking targeted for 2026 and full operations projected by 2030.",2026-03-16T06:56:34.333Z,2026-07-14T20:20:43.566Z,
125,Cayuga Data Campus,Data Center,proposed,,New York,Lansing,Tompkins County,"Former Cayuga Power Plant site, Lansing",42.6023,-76.628,180,138,800,2025,2026-2-9,,,,,TeraWulf,unknown,unknown,unknown,True,True,False,"TeraWulf is redeveloping the Miliken Station at the former Cayuga Power Plant site into a 180-acre data center campus. The campus will have an initial ~50 MW potential, scalable up to ~138 MW.",2026-03-16T06:56:34.333Z,2026-06-23T20:28:15.495Z,
126,Lysander Data Center,Data Center,proposed,,New York,Lysander,Onondaga County,Hencle Boulevard,43.1325,-76.3376,124,300,0,2026,2026-4,,,,,Ranalli Super DC,unknown,unknown,unknown,True,True,False,"Ranalli Super DC, LLC is proposing a large-scale hyperscale data center campus in Lysander. The project would be built on ~124 acres of land and has requested up to 300 megawatts of grid interconnection capacity, with development currently in the early planning stage.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
127,Niagara Digital Campus Data Center Development,Data Center,proposed,,New York,Niagara Falls,Niagara County,Somewhere near the intersection of Rainbow and John B. Daly Boulevards,43.08391756,-79.05282532,60,,500,2024-2026,2026-02,,,,,Niagara Falls Redevelopment,TRUE,TRUE,unknown,True,True,False,Niagara Falls Redevelopment is proposing a ~$1.5B data center and technology campus.,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
128,Oneonta West End Data Center,Zoning Amendment Application,preliminary,,New York,Oneonta,Otsego County,"357 County Highway 9, West Oneonta",42.455,-75.055,153,,0,2025,2025-12,,,,,EcoYotta Inc.,FALSE,TRUE,unknown,True,True,False,Startup EcoYotta filed zoning amendment application to rezone ~153 acres from residential-ag agricultural to planned development district for a proposed data center.,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
129,Brookhaven National Laboratory Data Center,Data Center,proposed,,New York,Upton,Suffolk County,"Adjacent to William Floyd Parkway, on Brookhaven National Labratory's campus",40.86743817,-72.89549013,90,,700,2024,2026-4-22,,,,,United States Department of Energy,TRUE,TRUE,unknown,True,True,False,"The U.S. Department of Energy is considering developing an AI data center on a 90-acre section of Brookhaven National Laboratory's campus, adjacent to the William Floyd Parkway. The proposed site is nearby the Caithness Long Island Energy Center, a 350 MW gas plant.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
130,Sugar Hill Portland Data Center,Data Center,proposed,,New York,Portland,Chautauqua County,"Former Sugar Hill Golf Course, off Route 5",42.37579809,-79.51981497,44,,0,2026,2026-05-05,,,,,WEED Inc,TRUE,TRUE,unknown,False,True,False,"WEED Inc., a cannabis and hemp bioresearch company, received general support from the Portland, New York Town Board to convert the former Sugar Hill Golf Course into a data center campus. The roughly 44-acre property along Route 5 near the Lake Erie shoreline in Chautauqua County is owned by WEED Inc.'s subsidiary, The Four Winds of Lake Erie, LLC. The board's resolution initiates further due diligence, including environmental review and regulatory approvals, so there has not been a final green light. The project faces significant community opposition.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
131,Massena Petawatt Data Center Site Advertisement,Site Advertisement,preliminary,,New York,Massena,St. Lawrence County,Around the intersection of Route 43 and Horton Road,44.95771162,-74.84814718,140,200,0,2026,2026-05-05,,,,,Five 9s Digital,TRUE,TRUE,unknown,False,False,False,"Five 9s digital is advertising a 200 MW data center development site encompassing approximately 140 acre site across two parcels off Horton Road and Route 42, near the Dennison Substation. According to the advertisement, this land is a pre-approved 200 MW land site.",2026-03-16T06:56:34.333Z,2026-07-02T00:23:46.698Z,
132,Ilion Data Center,Data Center,proposed,,New York,Ilion,Herkimer County,14 Hoefler Avenue,43.01352625,-75.03366628,,,150,2026-4,2026-05-05,,,,,Turin Hoefler Avenue LLC,TRUE,TRUE,unknown,True,True,False,"Turin Hoefler Avenue LLC has submitted an application to remediate a ~7.84 acre parcel (""Site C"") to construct a 250,000-square-foot data center at the former Remington Arms site at 14 Hoefler Avenue. ",2026-03-16T06:56:34.333Z,2026-07-14T20:20:43.566Z,
133,Riverview Innovative and Technology Campus Data Center,Data Center,proposed,,New York,Tonawanda,Erie County,"3875, 3800 River Road",42.98332989,-78.92629003,140,,0,2026-4,2026-05-20,,,,,Undisclosed Developer,TRUE,TRUE,TRUE,False,False,False,"A 300MW data center development is proposed for a 140-acre former Tonawanda Coke Corporation (TCC) plant. The site, previously home to the TCC since 1917, closed around 2018 following TCC's bankruptcy. Developers Jon Williams and John Yensan purchased it in 2019 for just $1 at auction, rebranding it the Riverview Innovation and Technology Campus. The proposed facility would span 500,000 sq ft and is currently before the Town of Tonawanda planning board, with cleanup and demolition of the old coke plant still underway.",2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
134,Rural Hall Data Center,Data Center,proposed,,North Carolina,Rural Hall,Forsyth County,"8084 Glade Street, Rural Hall",36.24135237,-80.30180901,130,,0,2026-3,2026-4-26,,,,,Thomas & Hutton; Drox Group LLC; Montrose Environmental Group,FALSE,TRUE,FALSE,False,False,False,A data center is being proposed on a 130 acre plot of land that used to be the Wall Farm in Rural Hall. The site is planned to have four buildings around 78 ft. tall. The town hall cannot vote on the matter because the land falls outside of their jurisdiction to the Winston-Salem/Forsyth County Planning Board. They are set to meet on May 9th to take on the matter and vote on a zoning ordinance to turn the residential (RS9 and RS20) zoned farm to light industrial (LI-S). The proposal has been met with opposition from local residents. ,2026-03-16T06:56:34.333Z,2026-05-21T06:12:19.501Z,
