recheck_priority,priority_reason,State,County,fips,Incident,Date,days_stale,threshold_days,overdue_ratio,qc_mechanism,status_clean,outcome_defensible,county_label,label_moving,project_id,Source URL
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,Pulaski County,18131,Pulaski County,2026-01-20,222,120,1.85,moratorium,active,blocked_unverified,1,0,pulaski_county_in,https://mjbommar.github.io/moratorium-data-2026/states/indiana.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NY,Tompkins County,36109,Town of Lansing (Article 78 Lawsuit),2026-01-20,222,120,1.85,moratorium,active,pending,1,0,lansing_ny,https://ithacavoice.org/2026/01/local-groups-file-suit-against-terawulf-lansing-zoning-board-over-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CA,Los Angeles County,06037,Monterey Park,2026-01-21,221,120,1.84,ban,active,blocked_unverified,1,0,monterey_park_ca,https://www.montereypark.ca.gov/1710/Data-Center-Information
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Genesee County,26049,Grand Blanc Township,2026-01-21,221,120,1.84,moratorium,active,pending,1,0,grand_blanc_township_mi,https://www.wnem.com/2026/01/22/grand-blanc-twp-passes-moratorium-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Oakland County,26125,City of Pontiac,2026-01-21,221,120,1.84,moratorium,active,pending,1,0,pontiac_mi,https://www.detroitnews.com/story/news/local/oakland-county/2026/01/21/pontiac-latest-community-to-pass-data-center-moratorium/88286730007/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Sylvan Township,2026-01-22,220,120,1.83,moratorium,active,pending,1,0,sylvan_township_mi,https://thesuntimesnews.com/sylvan-township-decides-on-data-center-moratorium-and-new-computers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Macomb County,26099,Village of Romeo,2026-01-26,216,120,1.8,moratorium,active,pending,1,0,romeo_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CO,Larimer County,08069,Larimer County,2026-01-27,215,120,1.79,moratorium,active,pending,1,0,larimer_county_co,https://www.reporterherald.com/2026/01/26/larimer-county-eyes-30-day-moratorium-on-data-center-permits/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,York County,42133,East Manchester Township,2025-10-14,320,180,1.78,conditional_zoning,passed,mixed,1,0,east_manchester_township_pa,https://www.fox43.com/article/news/local/york-county/east-manchester-township-approves-two-new-data-center-ordinances-community-tech-york-county/521-de93d1bf-7139-4092-b5fc-2c61bd715273
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Carroll County,24013,Carroll County,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,carroll_county_md,https://marylandmatters.org/2026/01/03/data-center-regulations-2026/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Montgomery County,24031,Dickerson (Montgomery County),2026-02-01,210,120,1.75,moratorium,active,pending,1,0,dickerson_md,https://bethesdamagazine.com/2026/02/25/dickerson-data-center-developers-have-right-to-go-forward-elrich-says/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Allegan County,26005,Saugatuck Township,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,saugatuck_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Kent County,26081,Solon Township,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,solon_township_mi,https://www.fox17online.com/news/local-news/rockford-cedar-springs-sparta/solon-township-approves-6-month-moratorium-on-data-center-proposals
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Adams County,39001,Adams County,2026-02-01,210,120,1.75,ban,active,pending,1,0,adams_county_oh,https://www.wcpo.com/news/local-news/i-team/adams-county-data-center-could-be-one-of-ohios-biggest-power-guzzlers
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Trumbull County,39155,Vienna Township,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,vienna_township_oh,https://www.statenews.org/section/the-ohio-newsroom/2026-02-26/ohio-towns-are-pushing-back-against-data-centers-to-varying-degrees-of-success
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Manitowoc County,55071,Two Creeks,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,two_creeks_wi,https://www.wpr.org/news/northeast-wisconsin-towns-1-year-moratorium-data-centers
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Manitowoc County,55071,Two Rivers,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,two_rivers_wi,https://www.wpr.org/news/northeast-wisconsin-towns-1-year-moratorium-data-centers
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Manitowoc County,55071,Mishicot,2026-02-01,210,120,1.75,moratorium,active,pending,1,0,mishicot_wi,https://www.wpr.org/news/northeast-wisconsin-towns-1-year-moratorium-data-centers
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Brooks County,13027,Brooks County,2026-02-02,209,120,1.74,moratorium,active,blocked_unverified,1,0,brooks_county_ga,https://mjbommar.github.io/moratorium-data-2026/states/georgia.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Baltimore County,24005,Baltimore County,2026-02-02,209,120,1.74,moratorium,active,pending,1,0,baltimore_county_md,https://www.thebanner.com/economy/growth-development/baltimore-county-data-center-moratorium-EVIJFJDL5VGCDNC22K52NQBMGI/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Montgomery County,24031,Montgomery County,2026-02-02,209,120,1.74,moratorium,active,pending,1,0,montgomery_county_md,https://www.foodandwaterwatch.org/2026/02/24/md-advocates-residents-call-for-data-center-moratorium-at-town-hall/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Macomb County,26099,Lenox Township,2026-02-02,209,120,1.74,moratorium,active,pending,1,0,lenox_township_mi,http://www.lenox-mi.gov/m/newsflash?cat=7
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lucas County,39095,Maumee,2026-02-02,209,120,1.74,moratorium,active,pending,1,0,maumee_oh,https://www.toledoblade.com/local/suburbs/2026/02/03/maumee-becomes-latest-northwest-ohio-community-to-pass-data-center-moratorium/stories/20260203114
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,Lodi Township,2026-02-03,208,120,1.73,moratorium,active,pending,1,0,lodi_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Lackawanna County,42069,Covington Township (Lackawanna County),2026-02-03,208,120,1.73,moratorium,active,pending,1,0,covington_township_pa,https://nodatacenter.net/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",SC,Colleton County,45029,Colleton County (ACE Basin lawsuit),2026-02-05,206,120,1.72,moratorium,pending,mixed,1,0,colleton_county_sc,https://www.live5news.com/2026/01/09/landowners-sue-colleton-county-over-data-center-ordinance/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Pickaway County,39129,Muhlenberg Township,2026-02-06,205,120,1.71,moratorium,active,pending,1,0,muhlenberg_township_oh,https://www.change.org/p/muhlenberg-twp-and-community-against-data-center-and-or-power-distribution-build
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",ID,Ada County,16001,Ada County,2025-11-01,302,180,1.68,conditional_zoning,passed,mixed,1,0,ada_county_id,https://adacounty.id.gov/blog/news/zoning-ordinance-update-public-hearing/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IL,Kankakee County,17091,Essex,2025-11-01,302,180,1.68,conditional_zoning,active,pending,1,0,essex_il,https://www.thecentersquare.com/illinois/article_05a303b2-1a7c-430a-ab7f-8a7c9ed27437.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,Kingman County,20095,Kingman County,2026-02-09,202,120,1.68,moratorium,active,blocked_unverified,1,0,kingman_county_ks,https://mjbommar.github.io/moratorium-data-2026/states/kansas.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Charlevoix County,26029,Hayes Township,2026-02-10,201,120,1.68,moratorium,active,pending,1,0,hayes_township_mi,https://www.interlochenpublicradio.org/ipr-news/2026-02-10/charlevoix-area-township-passes-data-center-moratorium
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Monroe County,26115,Erie Township,2026-02-10,201,120,1.68,moratorium,active,pending,1,0,erie_township_mi,https://www.wkar.org/wkar-news/2026-02-27/michigan-data-center-tracker-moratoria-legislation-and-grid-impact
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Oakland County,26125,City of South Lyon,2026-02-10,201,120,1.68,moratorium,active,pending,1,0,south_lyon_mi,https://www.whmi.com/news/article/city-of-south-lyon-adopts-12-month-moratorium-on-data-center-applications
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Lackawanna County,42069,Archbald,2025-11-01,302,180,1.68,conditional_zoning,active,pending,1,0,archbald_pa,https://www.wvia.org/news/local/2025-11-25/crammed-angered-archbald-residents-express-disapproval-as-council-approves-controversial-data-center-zoning-amendment
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TX,Angelina County,48005,Lufkin,2025-11-01,302,180,1.68,conditional_zoning,active,pending,1,0,lufkin_tx,https://www.change.org/p/stop-ai-data-center-lufkin-tx
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",VA,Campbell County,51031,Campbell County,2025-11-01,302,180,1.68,conditional_zoning,active,pending,1,0,campbell_county_va,https://wset.com/news/local/campbell-county-faces-data-center-proposals-as-residents-call-for-stricter-regulations-route-460-concord-cabin-field-road-mesh-capital-llc-supervisor-matthew-kline-november-2025
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",VA,Spotsylvania County,51177,Spotsylvania County,2025-11-01,302,180,1.68,conditional_zoning,approved,mixed,1,0,spotsylvania_county_va,https://www.fredericksburgfreepress.com/2026/02/25/spotsylvania-board-of-supervisors-vote-to-require-sup-for-data-centers-set-advertised-tax-rate/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Haywood County,37087,Town of Canton,2026-02-11,200,120,1.67,moratorium,active,pending,1,0,canton_nc,https://indyweek.com/news/as-chatham-considers-moratorium-wake-county-residents-continue-opposition-to-proposed-apex-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Washtenaw County,26161,York Township,2026-02-12,199,120,1.66,moratorium,active,blocked_unverified,1,0,york_township_mi,https://www.wemu.org/wemu-news/2026-02-12/york-township-places-six-month-moratorium-on-data-center-plans
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Clinton County,39027,Blanchester,2026-02-12,199,120,1.66,moratorium,active,pending,1,0,blanchester_oh,https://www.alleghenyfront.org/ohio-towns-are-pushing-back-against-data-centers-to-varying-degrees-of-success/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Chatham County,37037,Chatham County,2026-02-13,198,120,1.65,moratorium,active,pending,1,0,chatham_county_nc,https://indyweek.com/news/as-chatham-considers-moratorium-wake-county-residents-continue-opposition-to-proposed-apex-data-center/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Trumbull County,39155,Hubbard Township,2026-02-15,196,120,1.63,moratorium,active,pending,1,0,hubbard_township_oh,https://www.tribtoday.com/news/local-news/2026/02/hubbard-township-oks-moratorium-on-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lucas County,39095,Richfield Township,2026-02-17,194,120,1.62,moratorium,active,pending,1,0,richfield_township_oh,https://www.toledoblade.com/local/politics/2026/02/18/monclova-richfield-townships-latest-to-pass-data-center-moratoriums/stories/20260218126
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CO,Logan County,08075,Logan County (regulations adopted),2026-02-18,193,120,1.61,moratorium,passed,mixed,1,0,logan_county_co,https://www.kunc.org/2026-03-27/some-mountain-west-counties-impose-moratoriums-on-data-centers-as-national-pause-is-proposed
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lucas County,39095,Monclova Township,2026-02-18,193,120,1.61,moratorium,active,pending,1,0,monclova_township_oh,https://www.wtol.com/article/news/local/monclova-township-approves-12-month-moratorium-on-data-centers/512-9307862d-1a3c-45f9-acf2-8b49f0222efc
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Manitowoc County,55071,Manitowoc County (Three Towns Resolution),2026-02-20,191,120,1.59,moratorium,active,pending,1,0,manitowoc_county_wi,https://www.wpr.org/news/northeast-wisconsin-towns-1-year-moratorium-data-centers
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CO,Denver County,08031,Denver (Elyria-Swansea),2026-02-23,188,120,1.57,moratorium,active,pending,1,0,denver_co,https://www.denverpost.com/2026/02/23/denver-data-center-coresite-elyria-swansea/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,Huntington County,18069,Huntington County,2026-02-23,188,120,1.57,moratorium,active,blocked_unverified,1,0,huntington_county_in,https://mjbommar.github.io/moratorium-data-2026/states/indiana.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,Shelby County,18145,Shelby County,2026-02-23,188,120,1.57,moratorium,active,blocked_unverified,1,0,shelby_county_in,https://mjbommar.github.io/moratorium-data-2026/states/indiana.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Cobb County,13067,Cobb County,2026-02-24,187,120,1.56,moratorium,active,pending,1,0,cobb_county_ga,https://www.fox5atlanta.com/news/cobb-county-temporarily-pauses-new-data-center-development
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IN,Franklin County,18047,Franklin County,2026-02-24,187,120,1.56,moratorium,active,blocked_unverified,1,0,franklin_county_in,https://www.eaglecountryonline.com/news/local-news/franklin-co-commissioners-place-year-long-moratorium-on-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MI,Kalamazoo County,26077,City of Portage,2026-02-25,186,120,1.55,moratorium,passed,pending,1,0,portage_mi,https://wkzo.com/2026/02/25/894892/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Hall County,13139,Hall County,2026-02-26,185,120,1.54,moratorium,active,pending,1,0,hall_county_ga,https://www.wsbtv.com/news/local/hall-county/hall-county-commission-debating-180-day-data-center-moratorium/OOHPTCO4TJEL3H7MBY2FIVJZQM/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Cleveland County,37045,City of Kings Mountain,2026-02-26,185,120,1.54,moratorium,active,pending,1,0,kings_mountain_nc,https://thrivekingsmountain.com/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Clinton County,39027,Wilmington,2025-11-26,277,180,1.54,conditional_zoning,active,pending,1,0,wilmington_oh,https://www.datacenterdynamics.com/en/news/wilmington-city-council-postpones-vote-on-aws-data-center-in-southwest-ohio/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Pickaway County,39129,Commercial Point / Scioto Township (Pickaway County),2026-03-01,182,120,1.52,moratorium,passed,mixed,1,0,commercial_point_scioto_township_oh,https://www.sciotopost.com/proposed-152-acre-data-center-campus-in-commercial-point-borders-housing-development-in-pickaway-county/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TN,DeKalb County,47041,DeKalb County (nuclear data center regulations),2026-03-01,182,120,1.52,ban,pending,pending,1,0,dekalb_county_tn,https://www.wjle.com/county-commission-to-renew-discussion-about-proposed-data-center-regulations-view-video-here/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,Brown County,20013,Brown County,2026-03-02,181,120,1.51,moratorium,active,blocked_unverified,1,0,brown_county_ks,https://mjbommar.github.io/moratorium-data-2026/states/kansas.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KS,Marion County,20115,Marion County,2026-03-02,181,120,1.51,moratorium,active,blocked_unverified,1,0,marion_county_ks,https://mjbommar.github.io/moratorium-data-2026/states/kansas.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Polk County,13233,Polk County,2026-03-03,180,120,1.5,moratorium,active,blocked_unverified,1,0,polk_county_ga,https://mjbommar.github.io/moratorium-data-2026/states/georgia.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",LA,Caddo Parish,22017,Blanchard (North Caddo Parish),2026-03-03,180,120,1.5,moratorium,active,pending,1,0,blanchard_la,https://www.ksla.com/video/2026/03/02/rural-community-hosting-boycott-data-center-meeting/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",CA,Los Angeles County,06037,Monterey Park (permanent ballot ban),2026-03-04,179,120,1.49,ban,pending,blocked_unverified,1,0,monterey_park_ca,https://www.montereypark.ca.gov/m/newsflash/home/detail/1306
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Cumberland County,37051,Fayetteville,2026-03-05,178,120,1.48,moratorium,pending,blocked_unverified,1,0,fayetteville_nc,https://thecitizen.com/2026/03/16/data-center-decision-comes-thursday-for-fayetteville-council/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Lee County,37105,Lee County,2026-03-16,167,120,1.39,moratorium,passed,mixed,1,0,lee_county_nc,https://www.wunc.org/2026-03-17/lee-county-residents-ask-for-a-data-center-moratorium
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Fayette County,13113,City of Fayetteville,2026-03-18,165,120,1.38,ban,failed,blocked_unverified,1,0,fayetteville_ga,https://thecitizen.com/2026/03/19/data-center-appeal-withdrawn-in-fayetteville-the-power-of-the-people/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",IA,Shelby County,19165,Shelby County moratorium,2026-03-17,166,120,1.38,moratorium,active,blocked_unverified,1,0,shelby_county_moratorium_ia,https://mjbommar.github.io/moratorium-data-2026/states/iowa.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MD,Frederick County,24021,Frederick County,2025-12-24,249,180,1.38,conditional_zoning,passed,mixed,1,0,frederick_county_md,https://www.datacenterdynamics.com/en/news/amazon-to-expand-virginia-cloud-region-into-maryland-develop-data-centers-in-tpgs-quantum-frederick-park/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Rowan County,37159,Rowan County,2026-03-17,166,120,1.38,moratorium,active,mixed,1,0,rowan_county_nc,https://www.salisburypost.com/2026/03/17/online-petition-draws-ire-over-long-ferry-road-industrial-site/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",ND,Dunn County,38025,Dunn County,2026-03-18,165,120,1.38,moratorium,active,blocked_unverified,1,0,dunn_county_nd,https://mjbommar.github.io/moratorium-data-2026/states/north-dakota.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,York County,42133,Conewago Township (York County),2026-01-01,241,180,1.34,conditional_zoning,active,pending,1,0,conewago_township_pa,https://www.change.org/p/stop-ai-data-centers-in-conewago-township-york-co
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TX,Lee County,48287,Lee County (Blue/Sandow),2026-01-01,241,180,1.34,conditional_zoning,active,pending,1,0,lee_county_tx,https://www.texastribune.org/2025/06/05/texas-data-centers-gas-power-plants-ai/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",VA,Chesterfield County,51041,Chesterfield County (WestDulles appeal),2026-01-01,241,180,1.34,conditional_zoning,active,pending,1,0,chesterfield_county_va,https://richmondbizsense.com/2026/03/09/developer-appealing-permit-requirement-for-data-center-project-in-chesterfield/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NC,Watauga County,37189,Watauga County,2026-03-24,159,120,1.32,moratorium,pending,pending,1,0,watauga_county_nc,https://www.wataugademocrat.com/news/local/commissioners-move-toward-data-center-moratorium/article_d6f97008-ebf5-4ac5-ab70-43746bb9e4a0.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Henry County,13151,Henry County,2026-01-06,236,180,1.31,conditional_zoning,active,pending,1,0,henry_county_ga,https://www.atlantanewsfirst.com/2026/01/06/henry-county-commissioners-look-put-guardrails-any-future-data-centers/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Stark County,39151,Massillon,2026-03-31,152,120,1.27,moratorium,pending,pending,1,0,massillon_oh,https://writing.strisker.com/data-centers-daily-notes-april-1-2026/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WI,Manitowoc County,55071,Manitowoc County,2026-03-31,152,120,1.27,moratorium,pending,pending,1,0,manitowoc_county_wi,https://www.wpr.org/news/manitowoc-county-committee-recommends-moratorium-data-center-permitting
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MO,Franklin County,29071,Villa Ridge (Franklin County),2026-01-15,227,180,1.26,conditional_zoning,pending,pending,1,0,villa_ridge_mo,https://www.change.org/p/stop-the-data-center-on-robertsville-road-in-villa-ridge-missouri
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",NJ,Warren County,34041,Warren County (model ordinance),2026-01-15,227,180,1.26,conditional_zoning,active,pending,1,0,warren_county_nj,https://www.tapinto.net/towns/phillipsburg/articles/commissioner-kern-shares-model-ordinance-to-assist-municipalities-in-evaluating-data-center-siting
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MO,Franklin County,29071,Villa Ridge,2026-01-20,222,180,1.23,conditional_zoning,active,pending,1,0,villa_ridge_mo,https://www.firstalert4.com/2026/03/14/franklin-county-data-center-projects-return-planning-commission-tuesday-with-frustration-about-process/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",AZ,Cochise County,04003,Cochise County,2026-04-07,145,120,1.21,moratorium,passed,mixed,1,0,cochise_county_az,https://news.azpm.org/p/azpmnews/2026/4/10/229272-cochise-county-will-regulate-data-centers-but-some-residents-want-more/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",MN,Rice County,27131,Northfield,2026-04-08,144,120,1.2,moratorium,active,blocked_unverified,1,0,northfield_mn,https://kymnradio.net/2026/04/08/northfield-an-outlier-and-potential-model-in-minnesotas-data-center-debacle/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",DE,New Castle County,10003,Newark,2026-01-30,212,180,1.18,conditional_zoning,active,pending,1,0,newark_de,https://www.newarkpostonline.com/news/data-center-complex-proposed-near-newark/article_25f31b5b-71d7-4975-9ace-213c3dbf35ff.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WV,Monroe County,54063,Monroe County,2026-02-01,210,180,1.17,conditional_zoning,active,pending,1,0,monroe_county_wv,https://therealwv.com/2026/02/06/monroe-county-commission-denies-data-center-discussions/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",KY,Hancock County,21091,Hancock County (Hawesville),2026-02-02,209,180,1.16,conditional_zoning,active,pending,1,0,hancock_county_ky,https://spectrumnews1.com/ky/louisville/news/2026/02/14/ai-database-hawesville
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Luzerne County,42079,Luzerne County (county-wide),2026-02-02,209,180,1.16,conditional_zoning,pending,pending,1,0,luzerne_county_pa,https://www.timesleader.com/news/1731917/data-center-zoning-amendment-proposed-for-20-luzerne-county-covered-municipalities
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Decatur County,13087,Decatur County,2026-04-14,138,120,1.15,moratorium,active,blocked_unverified,1,0,decatur_county_ga,https://mjbommar.github.io/moratorium-data-2026/states/georgia.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Montgomery County,39113,Dayton,2026-04-14,138,120,1.15,moratorium,pending,pending,1,0,dayton_oh,https://www.daytondailynews.com/local/large-data-centers-could-be-banned-from-dayton-under-zoning-proposal/article_76b7992f-0baa-475a-af7f-883102de75f4.html
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Lucas County,39095,City of Oregon,2026-02-10,201,180,1.12,conditional_zoning,approved,pending,1,0,oregon_oh,https://www.13abc.com/2026/02/10/oregon-council-denies-data-center-extension-project-jeopardy/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",TN,Davidson County,47037,Nashville/Davidson County,2026-04-17,135,120,1.12,moratorium,pending,pending,1,0,nashville_davidson_county_tn,https://www.multistate.us/resources/state-data-center-policy-101
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Dauphin County,42043,Londonderry Township,2026-02-11,200,180,1.11,conditional_zoning,active,pending,1,0,londonderry_township_pa,https://www.datacenterdynamics.com/en/news/pennsylvanias-londonderry-township-weighs-data-center-zoning-ordinance-change/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",WA,Walla Walla County,53071,Walla Walla County,2026-02-12,199,180,1.11,conditional_zoning,active,pending,1,0,walla_walla_county_wa,https://www.datacenterdynamics.com/en/news/aws-likely-behind-48bn-data-center-in-walla-walla-washington/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Trumbull County,39155,Niles,2026-04-20,132,120,1.1,moratorium,failed,blocked_unverified,1,0,niles_oh,https://www.wkbn.com/news/local-news/niles-news/niles-announces-decision-on-proposed-data-center-annexation/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",PA,Lackawanna County,42069,Dickson City,2026-02-13,198,180,1.1,conditional_zoning,active,pending,1,0,dickson_city_pa,https://www.thetimes-tribune.com/2026/02/13/dickson-city-adopts-data-center-regulations-halts-bell-mountain-campus/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",GA,Lowndes County,13185,Lowndes County,2026-02-17,194,180,1.08,conditional_zoning,active,pending,1,0,lowndes_county_ga,https://www.walb.com/2026/02/10/rural-communities-raise-concerns-data-centers-expand-across-georgia-beyond/
2,"restrictive instrument past its threshold; the county is already labelled enacted, so only the record grade is at stake",OH,Montgomery County,39113,Vandalia,2026-04-22,130,120,1.08,moratorium,pending,pending,1,0,vandalia_oh,https://www.daytondailynews.com/community/vandalia/latest-data-centers-move-vandalia-city-council-considers-moratorium/article_0f9731a6-57dc-4e70-945e-460ff6fc47fc.html
