rank_score,row_key,verification_status,outlet,headline,suggested_mechanism,suggested_county,suggested_state,location_confidence,existing_coverage,resolved_url,resolved_domain,resolve_status,promote_ready,redirect_url
3.0,735661e8c4,headline_only,USA Today,New York just showed the country how to stop data centers | Opinion,,New York,NY,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMitAFBVV95cUxQN2x5RUlsNjg3MjNPb3N4QzUyV0o2cHFUdGJJblZZaVE1bE9XMTM3WkdILTl2RnRjenRiUTJXQy1NTFFpU2RPSVJ3Vk1qS3Z0RlVPSWhMeFNqTWg1QXh3eko2dnN6Tm1ON0RBbUdWd3ZJcVU2T3hubTYtUkFQeV81WVFmZ3VHaUdOVVhVMlpma1lNRGptcEI3a21uY0hxczJ2Rmk1VHRjVGlBZW9sdHk4SERCNUo?oc=5
3.0,4617ad05ac,headline_only,WFYI,Nearly a third of Indiana counties have moved to restrict data centers,,Indiana,PA,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMilwFBVV95cUxPMWVaRlMtb2d1WW5VM0EybWdlWDktZzgxZzJQZnNlWWNUOGI3TmdONzV5R2E4UEpZcEcydEtQMDNCOFJNd1U3MlVma2VjaHQ3ZWdUZlNVV3J3VmlZWmZsSGRXbllMZ2NONDJfekphWl83d0RaaTNFUUktd2ZVamd6SWU3YTFVbDJPazNCWFNCcXlsQXFtVmZZ?oc=5
3.0,3ccc8443d6,headline_only,WMUR,Both major candidates for New Hampshire governor share opposition to data centers,,Major,OK,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMikgFBVV95cUxOSDdsRHJJTmVacE0wYy1mNnF0b3RJZVhRQ2JQY2RaLXBPbVl1Q0Y2NHY3MUdhWExUZjd0VXFPNzNjNm5pQmtVc192dlV3ZEpZVEIxcERqUUdnZFh4M1F3NDhCM0xMYjZGTVFUZ3NSYm1WcjJyTmcxR2RfNjVxT0dvc05NUU1memdjQ2I4eE9GdDAzZw?oc=5
3.0,c742a5bb00,headline_only,Washington Examiner,New York on track to pass yearlong data center ban despite Hochul opposition,,New York,NY,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOMEI5NlFabFkxVTB1ODdQT1Uwazl4MzVkaG1iRC1aNnUzNHVSOUZjamlvb1ptYU10TFJQYzF1NUk0WnBCZXZRYUxVNXFBZmlmMUdoMlZCZ05wLURaelhwc3hzRlB1LWlmbDlUREY4UUVURllSclJudmJtMGhkSXFPZFBOb0ZPVzFueFNnVXNucWZvQm9ySVFuNlktUU1mYndQRExpZWVYSHFUbzY3Nm91elNVcW11VGtYSmR0aWJJUGRHZEEzSkgxanRCT2gwVmVpb0ZMclFRdkZSeWNtc1dISHNB?oc=5
3.0,aba8d5e3c4,headline_only,capacityglobal.com,New York just changed the rules for every data centre on earth,,Centre,PA,high,none_found,,,not_attempted,no,https://news.google.com/rss/articles/CBMimAFBVV95cUxPMFRXLUFhdzl1Ql9lYWY2ellxNUlzOUxpSzJHR09PVF9Sa3Fna1Z6SGVsZ1ByWkowcFlsRUFkdEdEVHI5VUVPb190YW9wRVZDYm55Uk90bWlta3BqWl9aUWY4MUs4X01nR3dQMGJFRnZiNXFBdDhzRnhoSWw4VFhjX0ZUVmpfUGNSTjhvSDZYRUNfOHhyNlJuUw?oc=5
3.0,b94f2f7de7,incomplete,first  standards for data centers,Colorado Springs mayor announces  community,,Colorado,TX,high,none_found,,,not_attempted,no,https://gazette.com/2026/08/14/colorado-springs-mayor-announces-community-first-standards-for-data-centers/
3.0,6d603bb9cb,incomplete,scale data centers in November,Oregon voters to decide fate of large,,Oregon,MO,high,none_found,,,not_attempted,no,https://www.13abc.com/2026/08/19/oregon-voters-decide-fate-large-scale-data-centers-november/
3.0,1ab7671ce7,incomplete,year deal,"Douglas County , Colorado just approved a $19 million tax rebate for a Parker data center that will create 16 jobs , meaning county taxpayers are subsidizing each position at more than $1 . 1 million over the 35",,Parker,TX,high,none_found,,,not_attempted,no,https://dmnews.com/dmn-r-douglas-county-colorado-just-approved-a-19-million-tax-rebate-for-a-parker-data-center-that-will-create-16-jobs-meaning-county-taxpayers-are-subsidizing-each-position-at-more-than-1-1-million-ov/
1.5,9d52ddb623,incomplete,,$6 . 5B Blue Energy proposal remain undecided | The Victoria Advocate,,Victoria,TX,medium,none_found,,,not_attempted,no,https://victoriaadvocate.com/2026/08/26/6-5b-blue-energy-proposal-remain-undecided/
1.5,9d52ddb623,incomplete,,$6 . 5B Blue Energy proposal remain undecided | The Victoria Advocate,,Victoria,TX,medium,none_found,,,not_attempted,no,https://victoriaadvocate.com/2026/08/26/6-5b-blue-energy-proposal-remain-undecided/
1.5,9d52ddb623,incomplete,,$6 . 5B Blue Energy proposal remain undecided | The Victoria Advocate,,Victoria,TX,medium,none_found,,,not_attempted,no,https://victoriaadvocate.com/2026/08/26/6-5b-blue-energy-proposal-remain-undecided/
1.5,9d52ddb623,incomplete,,$6 . 5B Blue Energy proposal remain undecided | The Victoria Advocate,,Victoria,TX,medium,none_found,,,not_attempted,no,https://victoriaadvocate.com/2026/08/26/6-5b-blue-energy-proposal-remain-undecided/
1.5,c97db28395,incomplete,,2026 Daily Kenosha County Fair Preview : Combine crunching at the fair – West of the I,,Kenosha,WI,medium,none_found,,,not_attempted,no,https://www.westofthei.com/2026/08/07/2026-daily-kenosha-county-fair-preview-combine-crunching-at-the-fair/109394
1.5,5d36bd95e3,incomplete,,5 data centers pitched for Gardner Property in Gainesville | Prince William,,Prince William,VA,medium,none_found,,,not_attempted,no,https://www.insidenova.com/news/prince_william/five-data-centers-pitched-for-gardner-property-in-gainesville/article_d315a67b-0b37-4d58-a8c6-ff1107d2d67a.html
1.5,f84e93e222,incomplete,,8 Reasons Why You Shouldnt Store Everything In The Cloud,,Cloud,KS,medium,none_found,,,not_attempted,no,https://www.bgr.com/2235734/reasons-shouldnt-use-cloud-storage/
1.5,e1a13c0912,incomplete,,A call for honesty : An open letter to the residents of Moffat County about data center discussions,,Moffat,CO,medium,none_found,,,not_attempted,no,https://www.craigdailypress.com/news/a-call-for-honesty-an-open-letter-to-the-residents-of-moffat-county-about-data-center-discussions/
1.5,a6d1227650,incomplete,,A closer look at Oakland proposed AI data center,,Oakland,MI,medium,none_found,,,not_attempted,no,https://www.ktvu.com/news/oakland-data-center-ai-innovation-campus
1.5,886e9c731f,incomplete,,"AI Data Center Planned In Downtown Oakland , Backlash Sure to Follow",,Oakland,MI,medium,none_found,,,not_attempted,no,https://sfist.com/2026/08/12/plans-for-an-ai-data-center-in-downtown-oakland-announced/
1.5,02d80493ec,incomplete,,AI Is Reshaping Tech Jobs . Could Los Angeles Be Next ?,,Los Angeles,CA,medium,none_found,,,not_attempted,no,https://lamag.com/technology/as-ai-curbs-the-jobs-of-its-creators-l-a-could-be-next-in-line/
1.5,6400135021,incomplete,,Aberdeen City Council heard experts dealing with data centers,,Heard,GA,medium,none_found,,,not_attempted,no,https://hubcityradio.com/aberdeen-city-council-heard-experts-dealing-with-data-centers/
1.5,4d2e9d66cf,incomplete,,Adam Sharp | Shenandoah County School Board fights for its sunk cause,,Sharp,AR,medium,none_found,,,not_attempted,no,https://augustafreepress.com/news/adam-sharp-shenandoah-county-school-board-fights-for-its-sunk-cause/
1.5,0a4e4af60d,incomplete,,"Amid a court - ordered pause in its data center plans , Google hosts community event for Pine Island",,Island,WA,medium,none_found,,,not_attempted,no,https://www.postbulletin.com/news/local/amid-a-court-ordered-pause-in-its-data-center-plans-google-hosts-community-event-for-pine-island
1.5,834ec893eb,incomplete,,Angelina County hires law firm for data center tax deals,,Angelina,TX,medium,none_found,,,not_attempted,no,https://www.ktre.com/2026/08/25/angelina-county-hires-law-firm-data-center-tax-deals/
1.5,7817ca7b75,incomplete,,Applications open for Data Research Committee in Vanderburgh Co .,,Vanderburgh,IN,medium,none_found,,,not_attempted,no,https://www.14news.com/2026/08/14/applications-open-data-research-committee-vanderburgh-co/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,dc62e541ff,incomplete,,Arthur residents want answers on data center,,Arthur,NE,medium,none_found,,,not_attempted,no,https://www.ktiv.com/2026/08/25/arthur-residents-ask-questions-pathones-data-center-meeting/
1.5,1e71f3e78e,incomplete,,Austin City Council votes to regulate data centers,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.fox7austin.com/news/austin-city-council-data-center-vote
1.5,1e71f3e78e,incomplete,,Austin City Council votes to regulate data centers,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.fox7austin.com/news/austin-city-council-data-center-vote
1.5,1e71f3e78e,incomplete,,Austin City Council votes to regulate data centers,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.fox7austin.com/news/austin-city-council-data-center-vote
1.5,33160f6ff2,incomplete,,Austin County residents protest CleanSpark data center in Sealy,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.click2houston.com/news/local/2026/08/15/austin-county-residents-protest-cleanspark-data-center-in-sealy/
1.5,77e11d25b2,incomplete,,Austin races to regulate AI data centers before they strain city water and power,,Power,ID,medium,none_found,,,not_attempted,no,https://www.kut.org/austin/2026-08-24/austin-races-to-regulate-ai-data-centers-before-they-strain-citys-water-and-power
1.5,77e11d25b2,incomplete,,Austin races to regulate AI data centers before they strain city water and power,,Power,ID,medium,none_found,,,not_attempted,no,https://www.kut.org/austin/2026-08-24/austin-races-to-regulate-ai-data-centers-before-they-strain-citys-water-and-power
1.5,77e11d25b2,incomplete,,Austin races to regulate AI data centers before they strain city water and power,,Power,ID,medium,none_found,,,not_attempted,no,https://www.kut.org/austin/2026-08-24/austin-races-to-regulate-ai-data-centers-before-they-strain-citys-water-and-power
1.5,77e11d25b2,incomplete,,Austin races to regulate AI data centers before they strain city water and power,,Power,ID,medium,none_found,,,not_attempted,no,https://www.kut.org/austin/2026-08-24/austin-races-to-regulate-ai-data-centers-before-they-strain-citys-water-and-power
1.5,220fc91ddb,incomplete,,"Banks Hit Concentration Limits , Sending Data Center Debt to Pension Funds",,Banks,GA,medium,none_found,,,not_attempted,no,https://www.techtimes.com/articles/323718/20260810/banks-hit-concentration-limits-sending-data-center-debt-pension-funds.htm
1.5,0ef36a2093,incomplete,,Barber County Commission could finalize agreement for Google data center,,Barber,KS,medium,none_found,,,not_attempted,no,https://www.yahoo.com/news/articles/barber-county-commission-could-finalize-004957585.html
1.5,7e54aecd1d,incomplete,,Barren data center suits proceed | Bowling Green Daily News,,Barren,KY,medium,none_found,,,not_attempted,no,https://bgdailynews.com/2026/08/27/barren-data-center-suits-proceed/
1.5,7e54aecd1d,incomplete,,Barren data center suits proceed | Bowling Green Daily News,,Barren,KY,medium,none_found,,,not_attempted,no,https://bgdailynews.com/2026/08/27/barren-data-center-suits-proceed/
1.5,7e54aecd1d,incomplete,,Barren data center suits proceed | Bowling Green Daily News,,Barren,KY,medium,none_found,,,not_attempted,no,https://bgdailynews.com/2026/08/27/barren-data-center-suits-proceed/
1.5,7e54aecd1d,incomplete,,Barren data center suits proceed | Bowling Green Daily News,,Barren,KY,medium,none_found,,,not_attempted,no,https://bgdailynews.com/2026/08/27/barren-data-center-suits-proceed/
1.5,feac0e12dd,incomplete,,Bipartisan opposition to artificial intelligence data centers – NBC10 Philadelphia,,Philadelphia,PA,medium,none_found,,,not_attempted,no,https://www.nbcphiladelphia.com/news/national-international/left-and-right-oppose-artificial-intelligence-data-centers/4453753/
1.5,feac0e12dd,incomplete,,Bipartisan opposition to artificial intelligence data centers – NBC10 Philadelphia,,Philadelphia,PA,medium,none_found,,,not_attempted,no,https://www.nbcphiladelphia.com/news/national-international/left-and-right-oppose-artificial-intelligence-data-centers/4453753/
1.5,feac0e12dd,incomplete,,Bipartisan opposition to artificial intelligence data centers – NBC10 Philadelphia,,Philadelphia,PA,medium,none_found,,,not_attempted,no,https://www.nbcphiladelphia.com/news/national-international/left-and-right-oppose-artificial-intelligence-data-centers/4453753/
1.5,1200914a5e,incomplete,,Botetourt County Planning Commission split on water pipeline permit amid Google data center concerns,,Botetourt,VA,medium,none_found,,,not_attempted,no,https://www.wdbj7.com/2026/08/11/botetourt-co-planning-commission-split-water-pipeline-permit-amid-google-data-center-concerns/
1.5,cadf501ae0,incomplete,,Brazos County commissioners approve new owner for RELLIS data center here what it means for your wallet,,Brazos,TX,medium,none_found,,,not_attempted,no,https://www.kbtx.com/2026/08/18/brazos-county-commissioners-approve-new-owner-rellis-data-center-heres-what-it-means-your-wallet/
1.5,89a654cf95,incomplete,,Brazos County could vote on new ownership for delayed $700 million RELLIS data center,,Brazos,TX,medium,none_found,,,not_attempted,no,https://www.kbtx.com/2026/08/18/brazos-county-could-vote-new-ownership-delayed-700-million-rellis-data-center/
1.5,7c82d93d16,incomplete,,Candler County official shuts down claims of incoming data center,,Candler,GA,medium,none_found,,,not_attempted,no,https://www.wjcl.com/article/candler-county-official-data-center-georgia/73496612
1.5,7c82d93d16,incomplete,,Candler County official shuts down claims of incoming data center,,Candler,GA,medium,none_found,,,not_attempted,no,https://www.wjcl.com/article/candler-county-official-data-center-georgia/73496612
1.5,7c82d93d16,incomplete,,Candler County official shuts down claims of incoming data center,,Candler,GA,medium,none_found,,,not_attempted,no,https://www.wjcl.com/article/candler-county-official-data-center-georgia/73496612
1.5,86781313f2,incomplete,,Catherine Austin Fitts Warns that Depopulation Is Used to Change the Economy +,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.alipac.us/f19/catherine-austin-fitts-warns-depopulation-used-change-economy-429413/
1.5,86781313f2,incomplete,,Catherine Austin Fitts Warns that Depopulation Is Used to Change the Economy +,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.alipac.us/f19/catherine-austin-fitts-warns-depopulation-used-change-economy-429413/
1.5,86781313f2,incomplete,,Catherine Austin Fitts Warns that Depopulation Is Used to Change the Economy +,,Austin,TX,medium,none_found,,,not_attempted,no,https://www.alipac.us/f19/catherine-austin-fitts-warns-depopulation-used-change-economy-429413/
1.5,95f8600446,incomplete,,Chesapeake City Council votes to restrict where data centers can go in the city,,Chesapeake city,VA,medium,none_found,,,not_attempted,no,https://www.yahoo.com/news/articles/chesapeake-city-council-votes-restrict-063224179.html
1.5,95f8600446,incomplete,,Chesapeake City Council votes to restrict where data centers can go in the city,,Chesapeake city,VA,medium,none_found,,,not_attempted,no,https://www.yahoo.com/news/articles/chesapeake-city-council-votes-restrict-063224179.html
1.5,59908bf7d0,incomplete,,Chillicothe Council Heard Speakers on Data Center Concerns,,Heard,GA,medium,none_found,,,not_attempted,no,https://wkkj.iheart.com/content/2026-08-24-chillicothe-council-heard-speakers-on-data-center-concerns/
1.5,2de763bdf9,incomplete,,China Targets Palo Alto Networks Firewalls in Formal Security Review Echoing Micron Ban,,Palo Alto,IA,medium,none_found,,,not_attempted,no,https://www.techtimes.com/articles/323371/20260806/china-targets-palo-alto-networks-firewalls-formal-security-review-echoing-micron-ban.htm
1.5,d6bca314b8,incomplete,,Clarendon County moves to get ahead of data centers,,Clarendon,SC,medium,none_found,,,not_attempted,no,"http://theitem.com/stories/clarendon-county-moves-to-get-ahead-of-data-centers,446615"
1.5,d6bca314b8,incomplete,,Clarendon County moves to get ahead of data centers,,Clarendon,SC,medium,none_found,,,not_attempted,no,"http://theitem.com/stories/clarendon-county-moves-to-get-ahead-of-data-centers,446615"
1.5,9bf907e453,incomplete,,Clarendon considers pause on data center approvals after company eyes county industrial park for facility,,Clarendon,SC,medium,none_found,,,not_attempted,no,"http://www.theitem.com/stories/clarendon-considers-pause-on-data-center-approvals-after-company-eyes-county-industrial-park-for,446072"
1.5,8d254f233f,incomplete,,"CleanCore Solutions , Inc . Announces Planned Corporate Name Change to Zone Frontier Inc .",,Frontier,NE,medium,none_found,,,not_attempted,no,http://www.prnewswire.com/news-releases/cleancore-solutions-inc-announces-planned-corporate-name-change-to-zone-frontier-inc-302852085.html
1.5,5073d0058d,incomplete,,Clearfield County : Nothing to hide about data centers,,Clearfield,PA,medium,none_found,,,not_attempted,no,https://www.theprogressnews.com/news/local/clearfield-county-nothing-to-hide-about-data-centers/article_822cec87-64db-415f-a427-88a7a6d690e3.html
1.5,92df3f8e27,incomplete,,Cleco speaks out on power grid concerns regarding Rapides Parish new data center,,Power,ID,medium,none_found,,,not_attempted,no,https://www.kalb.com/2026/08/11/cleco-speaks-out-power-grid-concerns-regarding-rapides-parishs-new-data-center/
1.5,dbcc94056a,incomplete,,"Colleton County considering digital infrastructure overlay district , data center development",,Colleton,SC,medium,none_found,,,not_attempted,no,https://www.live5news.com/2026/08/08/colleton-county-considering-digital-infrastructure-overlay-district-data-center-development/
1.5,b51d5311ea,incomplete,,Column : AI is reshaping Hampton Roads before our eyes,,Hampton,SC,medium,none_found,,,not_attempted,no,https://www.dailypress.com/2026/08/13/column-ai-is-reshaping-hampton-roads-before-our-eyes/
1.5,ad4b21a00a,incomplete,,Comment : Data centers not welcome in Athens County,,Athens,OH,medium,none_found,,,not_attempted,no,https://www.athensmessenger.com/anewsarchive/comment/comment-data-centers-not-welcome-in-athens-county/article_3f4358b1-4d3f-4797-b363-d0347abfc3d8.html
1.5,e25b1b3917,incomplete,,"Community forum addresses Flock camera surveillance , data center concerns in Tuscaloosa",,Tuscaloosa,AL,medium,none_found,,,not_attempted,no,https://www.wbrc.com/2026/08/28/community-forum-addresses-flock-camera-surveillance-data-center-concerns-tuscaloosa/
1.5,e25b1b3917,incomplete,,"Community forum addresses Flock camera surveillance , data center concerns in Tuscaloosa",,Tuscaloosa,AL,medium,none_found,,,not_attempted,no,https://www.wbrc.com/2026/08/28/community-forum-addresses-flock-camera-surveillance-data-center-concerns-tuscaloosa/
1.5,e25b1b3917,incomplete,,"Community forum addresses Flock camera surveillance , data center concerns in Tuscaloosa",,Tuscaloosa,AL,medium,none_found,,,not_attempted,no,https://www.wbrc.com/2026/08/28/community-forum-addresses-flock-camera-surveillance-data-center-concerns-tuscaloosa/
1.5,e25b1b3917,incomplete,,"Community forum addresses Flock camera surveillance , data center concerns in Tuscaloosa",,Tuscaloosa,AL,medium,none_found,,,not_attempted,no,https://www.wbrc.com/2026/08/28/community-forum-addresses-flock-camera-surveillance-data-center-concerns-tuscaloosa/
1.5,cec7d90d4c,incomplete,,Conceptual plans for power plant continue to fuel safety debate in Archbald,,Power,ID,medium,none_found,,,not_attempted,no,https://www.thetimes-tribune.com/2026/08/19/conceptual-plans-for-power-plant-continue-to-fuel-safety-debate-in-archbald/
1.5,cec7d90d4c,incomplete,,Conceptual plans for power plant continue to fuel safety debate in Archbald,,Power,ID,medium,none_found,,,not_attempted,no,https://www.thetimes-tribune.com/2026/08/19/conceptual-plans-for-power-plant-continue-to-fuel-safety-debate-in-archbald/
1.5,cec7d90d4c,incomplete,,Conceptual plans for power plant continue to fuel safety debate in Archbald,,Power,ID,medium,none_found,,,not_attempted,no,https://www.thetimes-tribune.com/2026/08/19/conceptual-plans-for-power-plant-continue-to-fuel-safety-debate-in-archbald/
1.5,a23664193a,incomplete,,Congressional candidate Peter Crosby to welcome Patrick Belmont to Aug . 25 political podcast,,Belmont,OH,medium,none_found,,,not_attempted,no,https://www.cachevalleydaily.com/news/congressional-candidate-peter-crosby-to-welcome-patrick-belmont-to-aug-25-political-podcast/article_169a52ff-208f-456a-8c0d-519a5dfb096f.html
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,c1cc74b152,incomplete,,Could a Bucks County Amazon data center be affected by Gov . Shapiro order ? – The Morning Call,,Bucks,PA,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/22/could-a-bucks-county-amazon-data-center-be-affected-by-gov-shapiros-order/
1.5,fe1649b49b,incomplete,,DEP OKs Fundamental Data Tucker County site control claim | Energy and Environment,,Tucker,WV,medium,none_found,,,not_attempted,no,https://www.wvgazettemail.com/news/energy_and_environment/dep-oks-fundamental-data-tucker-co-site-control-claim-for-data-center-linked-project/article_21468652-0be5-4937-8b3b-ae6d398fd2f3.html
1.5,84f3b1f497,incomplete,,"Data Centers : Lombardo Answers Rep . Titus With Facts , Ford Answers With Amnesia",,Titus,TX,medium,none_found,,,not_attempted,no,https://nevadanewsandviews.com/data-centers-lombardo-answers-rep-titus-with-facts-ford-answers-with-amnesia/
1.5,a7adbecd00,incomplete,,Data Centers a Hot Issue As Governor Race Takes Off » Urban Milwaukee,,Milwaukee,WI,medium,none_found,,,not_attempted,no,https://urbanmilwaukee.com/2026/08/18/data-centers-a-hot-issue-as-governors-race-takes-off/
1.5,42cfe99692,incomplete,,Data center developer files new appeals against Dickson City,,Dickson,TN,medium,none_found,,,not_attempted,no,https://www.thetimes-tribune.com/2026/08/13/data-center-developer-files-new-appeals-against-dickson-city/
1.5,72fdedb222,incomplete,,Data center developers propose deal with Upper Mount Bethel Township,,Bethel,AK,medium,none_found,,,not_attempted,no,https://www.mcall.com/2026/08/11/upper-mount-bethel-data-center-developers-would-drop-legal-action-donate-up-to-50-million-under-tabled-deal/
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,b6bfacd22d,incomplete,,Data center proposal blocked in Spartanburg County,,Spartanburg,SC,medium,none_found,,,not_attempted,no,https://www.wyff4.com/article/spartanburg-county-blocks-data-center/73526196
1.5,f6003ff6fa,incomplete,,"Democratic gov nominee David Crowley shows party unity , while Tiffany turns his attention to him",,Crowley,CO,medium,none_found,,,not_attempted,no,https://www.wjfw.com/news/regional/democratic-gov-nominee-david-crowley-shows-party-unity-while-tiffany-turns-his-attention-to-him/article_a2c84fe6-e6b1-5621-b4e0-4bc430fb5b4b.html
1.5,30956724dc,incomplete,,Denver city leaders launch data center  working group  as they weigh future regulations,,Denver,CO,medium,none_found,,,not_attempted,no,https://krystal93.com/denver-city-leaders-launch-data-center-working-group-as-they-weigh-future-regulations/
1.5,30956724dc,incomplete,,Denver city leaders launch data center  working group  as they weigh future regulations,,Denver,CO,medium,none_found,,,not_attempted,no,https://krystal93.com/denver-city-leaders-launch-data-center-working-group-as-they-weigh-future-regulations/
1.5,30956724dc,incomplete,,Denver city leaders launch data center  working group  as they weigh future regulations,,Denver,CO,medium,none_found,,,not_attempted,no,https://krystal93.com/denver-city-leaders-launch-data-center-working-group-as-they-weigh-future-regulations/
1.5,262bde8399,incomplete,,"Developer withdraws plans for data center in southeast Raleigh , mayor says",,Raleigh,WV,medium,none_found,,,not_attempted,no,https://www.wral.com/news/local/developer-withdraws-plans-data-center-southeast-raleigh-mayor-says-august-2026/
1.5,2cda356a7b,incomplete,,Digi Power X Q2 Earnings Call Highlights,,Power,ID,medium,none_found,,,not_attempted,no,https://finance.yahoo.com/markets/stocks/articles/digi-power-x-q2-earnings-140427175.html
1.5,ddafb8cf8d,incomplete,,Dubuque Mayor Brad Cavanagh Weighs in On Potential Data Center,,Dubuque,IA,medium,none_found,,,not_attempted,no,https://khak.com/ixp/679/p/dubuque-mayor-data-center/
1.5,ddafb8cf8d,incomplete,,Dubuque Mayor Brad Cavanagh Weighs in On Potential Data Center,,Dubuque,IA,medium,none_found,,,not_attempted,no,https://khak.com/ixp/679/p/dubuque-mayor-data-center/
1.5,ddafb8cf8d,incomplete,,Dubuque Mayor Brad Cavanagh Weighs in On Potential Data Center,,Dubuque,IA,medium,none_found,,,not_attempted,no,https://khak.com/ixp/679/p/dubuque-mayor-data-center/
1.5,aa5a5b3186,incomplete,,"Durham County , N . C ., Votes for Pause on Data Centers",,Durham,NC,medium,none_found,,,not_attempted,no,https://www.govtech.com/artificial-intelligence/durham-county-n-c-votes-for-pause-on-data-centers
1.5,aa5a5b3186,incomplete,,"Durham County , N . C ., Votes for Pause on Data Centers",,Durham,NC,medium,none_found,,,not_attempted,no,https://www.govtech.com/artificial-intelligence/durham-county-n-c-votes-for-pause-on-data-centers
1.5,aa5a5b3186,incomplete,,"Durham County , N . C ., Votes for Pause on Data Centers",,Durham,NC,medium,none_found,,,not_attempted,no,https://www.govtech.com/artificial-intelligence/durham-county-n-c-votes-for-pause-on-data-centers
